FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,PURPOSE_CALL,Motivi della chiamata,SEX,Sesso,NATIONALITY,Nazionalità,TIME_PERIOD,Osservazione,OBS_STATUS
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WORLD,Mondo,2024,1906,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2015,79,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2016,67,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2017,73,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2018,48,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2019,71,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2020,74,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2021,81,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2022,68,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2023,85,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,WRL_X_ITA,Paesi esteri,2024,107,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2015,841,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2016,783,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2017,736,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2018,810,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2019,761,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2020,1141,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2021,1286,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2022,982,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2023,1329,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,F,Femmine,IT,Italia,2024,1799,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,NRP,Non indicato,WORLD,Mondo,2023,68,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,NRP,Non indicato,WORLD,Mondo,2024,65,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,NRP,Non indicato,IT,Italia,2023,11,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,NRP,Non indicato,IT,Italia,2024,5,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,NRP,Non indicato,NRP,Non Indicato,2023,57,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,NRP,Non indicato,NRP,Non Indicato,2024,60,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WORLD,Mondo,2015,1021,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WORLD,Mondo,2016,986,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WORLD,Mondo,2017,918,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WORLD,Mondo,2018,926,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WORLD,Mondo,2019,897,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WORLD,Mondo,2020,1342,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WORLD,Mondo,2021,1512,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WORLD,Mondo,2022,1135,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WORLD,Mondo,2023,1596,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WORLD,Mondo,2024,2115,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WRL_X_ITA,Paesi esteri,2015,81,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WRL_X_ITA,Paesi esteri,2016,71,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WRL_X_ITA,Paesi esteri,2017,76,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WRL_X_ITA,Paesi esteri,2018,48,
A,Annuale,IT,Italia,USERS,Utenti del 1522,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,T,Totale,WRL_X_ITA,Paesi esteri,2019,71,
