FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,NATIONALITY,Nazionalità,OUTCOME_CALL,Esito della telefonata,TIME_PERIOD,Osservazione,OBS_STATUS
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2017,11,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2018,8,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2019,8,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2020,2,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2021,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2023,461,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,113_REQUIRED,Richiesto  intervento 113,2024,954,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TOT_EMERG,Totale chiamate in emergenza,2015,15,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TOT_EMERG,Totale chiamate in emergenza,2016,6,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TOT_EMERG,Totale chiamate in emergenza,2017,11,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TOT_EMERG,Totale chiamate in emergenza,2018,9,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TOT_EMERG,Totale chiamate in emergenza,2019,12,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TOT_EMERG,Totale chiamate in emergenza,2020,4,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TOT_EMERG,Totale chiamate in emergenza,2021,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TOT_EMERG,Totale chiamate in emergenza,2022,1,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TOT_EMERG,Totale chiamate in emergenza,2023,470,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,WORLD,Mondo,TOT_EMERG,Totale chiamate in emergenza,2024,989,
