FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,NATIONALITY,Nazionalità,KNOWLEDGE_1522,Modalità di conoscenza del 1522,TIME_PERIOD,Osservazione,OBS_STATUS
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,SOCIALMEDIA,Social media,2021,133,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,SOCIALMEDIA,Social media,2022,246,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,SOCIALMEDIA,Social media,2023,578,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,SOCIALMEDIA,Social media,2024,152,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NEWSWEB,Notizie dal web - ricerca sui motori di ricerca,2021,175,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,NEWSWEB,Notizie dal web - ricerca sui motori di ricerca,2022,553,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,CHAT,Chat di amici e conoscenti,2021,51,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,CHAT,Chat di amici e conoscenti,2022,127,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RELATIVE,Parente / amico / conoscente,2015,654,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RELATIVE,Parente / amico / conoscente,2016,762,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RELATIVE,Parente / amico / conoscente,2017,740,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RELATIVE,Parente / amico / conoscente,2018,1086,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RELATIVE,Parente / amico / conoscente,2019,1102,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RELATIVE,Parente / amico / conoscente,2020,946,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RELATIVE,Parente / amico / conoscente,2021,1476,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RELATIVE,Parente / amico / conoscente,2022,1453,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RELATIVE_REL,Parente,2023,346,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RELATIVE_REL,Parente,2024,167,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RELATIVE_FRACQ,Amico/conoscente,2023,1280,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,RELATIVE_FRACQ,Amico/conoscente,2024,1109,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PUB_SERV,Servizio pubblico,2015,752,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PUB_SERV,Servizio pubblico,2016,880,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PUB_SERV,Servizio pubblico,2017,829,
A,Annuale,IT,Italia,USERS,Utenti del 1522,WORLD,Mondo,PUB_SERV,Servizio pubblico,2018,1015,
