FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,PURPOSE_CALL,Motivi della chiamata,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2017,286,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2018,261,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2019,218,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2020,571,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2021,540,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2022,262,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2023,425,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2024,433,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2015,924,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2016,875,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2017,827,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2018,865,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2019,846,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2020,1224,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2021,1372,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2022,1056,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2023,1380,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_STALK_SEEK,Richiesta di aiuto vittima di stalking,2024,1872,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2015,5177,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2016,5312,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2017,5347,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2018,6906,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,VICT_VIOL_SEEK,Richiesta di aiuto vittima di violenza,2019,6355,,
