FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,TYPE_VIOLENCE,Tipo_di_violenza,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHYVIOL,Violenza psicologica,2020,182,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHYVIOL,Violenza psicologica,2021,148,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHYVIOL,Violenza psicologica,2022,74,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHYVIOL,Violenza psicologica,2023,140,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,PHYVIOL,Violenza psicologica,2024,154,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ECON_VIOL,Violenza economica,2015,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ECON_VIOL,Violenza economica,2016,4,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ECON_VIOL,Violenza economica,2017,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ECON_VIOL,Violenza economica,2018,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ECON_VIOL,Violenza economica,2019,5,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ECON_VIOL,Violenza economica,2020,5,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ECON_VIOL,Violenza economica,2021,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ECON_VIOL,Violenza economica,2022,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ECON_VIOL,Violenza economica,2023,7,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ECON_VIOL,Violenza economica,2024,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,STLK,Atti persecutori/ stalking,2023,82,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,STLK,Atti persecutori/ stalking,2024,76,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ONL_VIOL,Violenza digitale,2023,1,,
