FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,TOTAL,Totale,2023,1403,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,TOTAL,Totale,2024,1081,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2015,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2019,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2020,9,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2021,11,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2022,15,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2023,1327,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,NRP,Non indicato,UNAV,Non disponibile,2024,1042,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NSP,Non indicato,2015,43,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NSP,Non indicato,2016,63,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,T,Totale,NSP,Non indicato,2017,81,,
