FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,SEXUAL_ORIENTATION,Orientamento sessuale,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2021,4008,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2022,3848,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2023,6154,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,M,Maschi,TOTAL,Totale,2024,8278,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2015,13,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2016,20,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2017,20,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2018,16,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2019,28,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2020,89,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2021,81,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,OMOX,Omosessuale,2022,56,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2015,44,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2016,40,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2017,45,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2018,32,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2019,16,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,F,Femmine,TRANS,Transessuale,2020,183,,
