Regione;Età;Celibi;Coniugati;Divorziati;Vedovi;Uniti civilmente;Maschi già in unione civile (per scioglimento unione);Maschi già in unione civile (per decesso del partner);Totale maschi;Nubili;Coniugate;Divorziate;Vedove;Unite civilmente;Femmine già in unione civile (per scioglimento unione);Femmine già in unione civile (per decesso del partner);Totale femmine;Totale
Veneto;79;1015;12657;488;1793;8;0;0;15961;1075;9883;702;8170;3;0;0;19833;35794
Veneto;80;1192;14112;475;2124;7;0;0;17910;1219;10435;623;10161;0;0;0;22438;40348
Veneto;81;1126;13524;394;2366;3;0;2;17415;1258;9748;647;10874;0;0;0;22527;39942
Veneto;82;1083;12221;371;2396;8;0;2;16081;1249;8387;603;11188;1;0;0;21428;37509
Veneto;83;1005;11415;297;2476;7;0;0;15200;1210;7100;486;11730;0;0;1;20527;35727
Veneto;84;937;11072;274;2716;3;0;1;15003;1208;6641;433;12882;1;0;0;21165;36168
Veneto;85;805;10178;201;2655;0;0;1;13840;1168;5404;384;12645;0;0;0;19601;33441
Veneto;86;698;8220;163;2540;2;0;0;11623;1083;4272;320;12562;0;0;0;18237;29860
Veneto;87;531;6616;140;2351;1;0;0;9639;985;2963;253;11297;0;0;0;15498;25137
Veneto;88;457;5083;97;2012;1;0;0;7650;873;2173;165;10280;0;0;0;13491;21141
Veneto;89;382;4375;80;1977;1;0;0;6815;801;1603;153;9862;0;0;0;12419;19234
Veneto;90;294;3478;62;1770;0;0;0;5604;753;1174;119;8883;0;0;0;10929;16533
Veneto;91;215;2349;39;1413;0;0;0;4016;649;719;106;7237;0;0;0;8711;12727
Veneto;92;178;1719;28;1231;0;0;0;3156;554;474;71;6460;0;0;0;7559;10715
Veneto;93;128;1244;18;987;0;0;0;2377;472;346;48;5433;0;0;0;6299;8676
Veneto;94;112;818;14;798;0;0;0;1742;433;206;47;4579;0;0;0;5265;7007
Veneto;95;63;543;11;562;0;0;0;1179;288;108;36;3238;0;0;0;3670;4849
Veneto;96;41;343;5;421;0;0;0;810;216;70;10;2558;0;0;0;2854;3664
Veneto;97;23;205;7;317;0;0;0;552;199;41;7;1937;0;0;0;2184;2736
Veneto;98;18;114;3;201;0;0;0;336;116;23;11;1310;0;0;0;1460;1796
Veneto;99;9;52;1;119;0;0;0;181;92;10;6;879;0;0;0;987;1168
Veneto;100;17;61;0;153;0;0;0;231;180;18;8;1292;0;0;0;1498;1729
Veneto;999;1164711;1078774;86398;60789;2206;70;41;2392989;973508;1086346;115521;283737;1284;77;10;2460483;4853472
