FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,MARITAL_STATUS,Stato civile,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WID2,Vedovo da matrimonio/unione civile,2020,11,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WID2,Vedovo da matrimonio/unione civile,2021,13,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WID2,Vedovo da matrimonio/unione civile,2022,4,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WID2,Vedovo da matrimonio/unione civile,2023,8,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,WID2,Vedovo da matrimonio/unione civile,2024,6,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non indicato,2015,2,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non indicato,2016,7,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non indicato,2017,15,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non indicato,2018,3,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non indicato,2019,1,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non indicato,2020,83,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non indicato,2021,74,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non indicato,2022,26,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non indicato,2023,58,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,NRP,Non indicato,2024,32,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2015,33,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2016,14,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2017,27,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2018,21,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2019,26,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2020,41,,
