FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TYPES_USERS,Tipologia di utenza,SEX,Sesso,NATIONALITY,Nazionalità,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,M,Maschi,WORLD,Mondo,2022,3220,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,M,Maschi,WORLD,Mondo,2023,2463,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,M,Maschi,WORLD,Mondo,2024,2569,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,F,Femmine,WORLD,Mondo,2015,15602,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,F,Femmine,WORLD,Mondo,2016,14248,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,F,Femmine,WORLD,Mondo,2017,14067,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,F,Femmine,WORLD,Mondo,2018,19132,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,F,Femmine,WORLD,Mondo,2019,17936,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,F,Femmine,WORLD,Mondo,2020,26763,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,F,Femmine,WORLD,Mondo,2021,30140,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,F,Femmine,WORLD,Mondo,2022,27160,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,F,Femmine,WORLD,Mondo,2023,31270,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,F,Femmine,WORLD,Mondo,2024,36224,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,NRP,Non indicato,WORLD,Mondo,2015,1,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,NRP,Non indicato,WORLD,Mondo,2019,2,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,NRP,Non indicato,WORLD,Mondo,2020,9,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,NRP,Non indicato,WORLD,Mondo,2021,11,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,NRP,Non indicato,WORLD,Mondo,2022,15,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,NRP,Non indicato,WORLD,Mondo,2023,3287,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,NRP,Non indicato,WORLD,Mondo,2024,3218,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,T,Totale,WORLD,Mondo,2015,17284,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,T,Totale,WORLD,Mondo,2016,15532,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,T,Totale,WORLD,Mondo,2017,15743,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,T,Totale,WORLD,Mondo,2018,21285,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,T,Totale,WORLD,Mondo,2019,19848,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,T,Totale,WORLD,Mondo,2020,29662,,
A,Annuale,IT,Italia,USERS,Utenti del 1522,USERS_CAL,Utenti che chiamano per sè,T,Totale,WORLD,Mondo,2021,33333,,
