FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;SEX;Sesso;STEREOT_GENDROLEPARTNER;Stereotipi sui ruoli di genere, comportamenti nella coppia;DEGREE_AGREEMENT;Grado di accordo;TIME_PERIOD;Osservazione;OBS_STATUS
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;HUSFNVIO;Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza;SOMAGR;"'Abbastanza d""'accordo'";2018;1.1;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;HUSFNVIO;Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza;SOMDISAG;"'Poco d""'accordo'";2018;5.2;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;HUSFNVIO;Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza;STRODIS;"'Per niente d""'accordo'";2018;87.2;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;HUSFNVIO;Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza;NOANSW;Non risponde;2018;5.7;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;HUSFNVIO;Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WOFSREM;Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì;STRAGR;"'Molto d""'accordo'";2018;1.7;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WOFSREM;Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì;SOMAGR;"'Abbastanza d""'accordo'";2018;7.4;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WOFSREM;Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì;SOMDISAG;"'Poco d""'accordo'";2018;15.4;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WOFSREM;Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì;STRODIS;"'Per niente d""'accordo'";2018;62.3;
A;Annuale;IT;Italia;P18_74_AGVIOL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sulla violenza sessuale (composizione %);M;Maschi;WOFSREM;Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì;NOANSW;Non risponde;2018;13.3;
