FREQ;Frequenza;REF_AREA;Territorio;DATA_TYPE;Indicatore;SEX;Sesso;STEREOT_GENDROLEPARTNER;Stereotipi sui ruoli di genere, comportamenti nella coppia;DEGREE_AGREEMENT;Grado di accordo;TIME_PERIOD;Osservazione;OBS_STATUS
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;SOMDISAG;"'Poco d""'accordo'";2018;21.8;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;STRODIS;"'Per niente d""'accordo'";2018;47;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;NOANSW;Non risponde;2018;0.7;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MLESHOUS;Gli uomini sono meno adatti ad occuparsi delle faccende domestiche;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;STRAGR;"'Molto d""'accordo'";2018;9.3;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;SOMAGR;"'Abbastanza d""'accordo'";2018;21;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;SOMDISAG;"'Poco d""'accordo'";2018;17.1;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;STRODIS;"'Per niente d""'accordo'";2018;51.4;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;NOANSW;Non risponde;2018;1.2;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);M;Maschi;MISUCWOR;Per l’uomo,più che per la donna,è molto importante avere successo nel lavoro;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;STRAGR;"'Molto d""'accordo'";2018;4.7;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;SOMAGR;"'Abbastanza d""'accordo'";2018;12;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;SOMDISAG;"'Poco d""'accordo'";2018;12.1;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;STRODIS;"'Per niente d""'accordo'";2018;70.5;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;NOANSW;Non risponde;2018;0.7;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;PRIOMEN;In condizioni di scarsità di lavoro,i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne;TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";STRAGR;"'Molto d""'accordo'";2018;7.5;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";SOMAGR;"'Abbastanza d""'accordo'";2018;17;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";SOMDISAG;"'Poco d""'accordo'";2018;17.8;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";STRODIS;"'Per niente d""'accordo'";2018;57.1;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";NOANSW;Non risponde;2018;0.6;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MPRFAM;"'È soprattutto l""'uomo che deve provvedere alle necessità economiche della famiglia'";TOT;Totale;2018;100;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";STRAGR;"'Molto d""'accordo'";2018;2.5;
A;Annuale;IT;Italia;P18_74_AGROL;Persone di 18-74 anni per grado di accordo con alcuni stereotipi sui ruoli tradizionali di genere (composizione %);F;Femmine;MTAKEDE;"'È l""'uomo che deve prendere le decisioni più importanti riguardanti la famiglia'";SOMAGR;"'Abbastanza d""'accordo'";2018;4.6;
