FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,SEX,Sesso,COMP_REASWITHDRAWAL,Denucia_motivo_ritiro,TIME_PERIOD,Osservazione,OBS_STATUS,Stato_osservazione
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2021,171,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2022,55,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2023,7,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,UNAV,Non disponibile,2024,15,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2015,311,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2016,295,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2017,286,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2018,261,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2019,218,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2020,571,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2021,540,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2022,262,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2023,425,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,M,Maschi,ALL,Tutte le voci,2024,433,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT,Denuncia,2015,1098,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT,Denuncia,2016,1177,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT,Denuncia,2017,1150,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT,Denuncia,2018,1333,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT,Denuncia,2019,1291,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT,Denuncia,2020,1610,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT,Denuncia,2021,2115,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT,Denuncia,2022,1500,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT,Denuncia,2023,1970,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,REPORT,Denuncia,2024,1992,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WITHDR_COMP,Ritira la denuncia,2015,293,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WITHDR_COMP,Ritira la denuncia,2016,341,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WITHDR_COMP,Ritira la denuncia,2017,256,,
A,Annuale,IT,Italia,VICTIMS,Vittime di violenza,F,Femmine,WITHDR_COMP,Ritira la denuncia,2018,286,,
