territorio,tipologia_utenti,sesso,periodo,numero_vittime
nord ovest,utenti che chiamano per sè,non indicato,2023,28
nord ovest,utenti che chiamano per sè,non indicato,2024,15
nord ovest,da operatori,maschi,2015,19
nord ovest,da operatori,maschi,2016,25
nord ovest,da operatori,maschi,2017,37
nord ovest,da operatori,maschi,2018,43
nord ovest,da operatori,maschi,2019,49
nord ovest,da operatori,maschi,2020,39
nord ovest,da operatori,maschi,2021,66
nord ovest,da operatori,maschi,2022,85
nord ovest,da operatori,maschi,2023,299
nord ovest,da operatori,maschi,2024,325
nord ovest,da operatori,femmine,2015,27
nord ovest,da operatori,femmine,2016,42
nord ovest,da operatori,femmine,2017,39
nord ovest,da operatori,femmine,2018,56
nord ovest,da operatori,femmine,2019,56
nord ovest,da operatori,femmine,2020,58
nord ovest,da operatori,femmine,2021,51
nord ovest,da operatori,femmine,2022,51
nord ovest,da operatori,femmine,2023,604
nord ovest,da operatori,femmine,2024,840
nord ovest,da operatori,non indicato,2023,5
nord ovest,da operatori,non indicato,2024,4
nord ovest,da parenti/amici/conoscenti,maschi,2015,89
nord ovest,da parenti/amici/conoscenti,maschi,2016,83
nord ovest,da parenti/amici/conoscenti,maschi,2017,79
nord ovest,da parenti/amici/conoscenti,maschi,2018,39
nord ovest,da parenti/amici/conoscenti,maschi,2019,39
nord ovest,da parenti/amici/conoscenti,maschi,2020,78
nord ovest,da parenti/amici/conoscenti,maschi,2021,102
nord ovest,da parenti/amici/conoscenti,maschi,2022,58
nord ovest,da parenti/amici/conoscenti,maschi,2023,195
nord ovest,da parenti/amici/conoscenti,maschi,2024,262
nord ovest,da parenti/amici/conoscenti,femmine,2015,403
nord ovest,da parenti/amici/conoscenti,femmine,2016,413
nord ovest,da parenti/amici/conoscenti,femmine,2017,266
nord ovest,da parenti/amici/conoscenti,femmine,2018,261
nord ovest,da parenti/amici/conoscenti,femmine,2019,182
nord ovest,da parenti/amici/conoscenti,femmine,2020,275
nord ovest,da parenti/amici/conoscenti,femmine,2021,322
nord ovest,da parenti/amici/conoscenti,femmine,2022,255
nord ovest,da parenti/amici/conoscenti,femmine,2023,661
nord ovest,da parenti/amici/conoscenti,femmine,2024,918
nord ovest,da parenti/amici/conoscenti,non indicato,2023,8
nord ovest,da parenti/amici/conoscenti,non indicato,2024,11
nord ovest,altre chiamate valide,maschi,2015,15
nord ovest,altre chiamate valide,maschi,2016,7
nord ovest,altre chiamate valide,maschi,2017,7
nord ovest,altre chiamate valide,maschi,2018,11
nord ovest,altre chiamate valide,maschi,2019,5
nord ovest,altre chiamate valide,maschi,2020,10
nord ovest,altre chiamate valide,maschi,2021,12
nord ovest,altre chiamate valide,maschi,2022,11
nord ovest,altre chiamate valide,maschi,2023,142
nord ovest,altre chiamate valide,maschi,2024,251
nord ovest,altre chiamate valide,femmine,2015,58
nord ovest,altre chiamate valide,femmine,2016,75
nord ovest,altre chiamate valide,femmine,2017,89
nord ovest,altre chiamate valide,femmine,2018,96
nord ovest,altre chiamate valide,femmine,2019,48
nord ovest,altre chiamate valide,femmine,2020,49
nord ovest,altre chiamate valide,femmine,2021,41
nord ovest,altre chiamate valide,femmine,2022,51
nord ovest,altre chiamate valide,femmine,2023,540
nord ovest,altre chiamate valide,femmine,2024,1130
nord ovest,altre chiamate valide,non indicato,2023,1
nord ovest,altre chiamate valide,non indicato,2024,12
nord ovest,valore mancante,maschi,2023,5
nord ovest,valore mancante,maschi,2024,3
nord ovest,valore mancante,femmine,2023,49
nord ovest,valore mancante,femmine,2024,5
piemonte,utenti che chiamano per sè,maschi,2015,105
piemonte,utenti che chiamano per sè,maschi,2016,117
piemonte,utenti che chiamano per sè,maschi,2017,127
piemonte,utenti che chiamano per sè,maschi,2018,103
piemonte,utenti che chiamano per sè,maschi,2019,122
piemonte,utenti che chiamano per sè,maschi,2020,130
piemonte,utenti che chiamano per sè,maschi,2021,112
piemonte,utenti che chiamano per sè,maschi,2022,123
piemonte,utenti che chiamano per sè,maschi,2023,79
piemonte,utenti che chiamano per sè,maschi,2024,80
piemonte,utenti che chiamano per sè,femmine,2015,1191
piemonte,utenti che chiamano per sè,femmine,2016,1145
piemonte,utenti che chiamano per sè,femmine,2017,984
piemonte,utenti che chiamano per sè,femmine,2018,1287
piemonte,utenti che chiamano per sè,femmine,2019,1269
piemonte,utenti che chiamano per sè,femmine,2020,1595
piemonte,utenti che chiamano per sè,femmine,2021,1504
piemonte,utenti che chiamano per sè,femmine,2022,1424
piemonte,utenti che chiamano per sè,femmine,2023,1657
piemonte,utenti che chiamano per sè,femmine,2024,1938
piemonte,utenti che chiamano per sè,non indicato,2023,5
piemonte,utenti che chiamano per sè,non indicato,2024,3
piemonte,da operatori,maschi,2015,9
piemonte,da operatori,maschi,2016,10
piemonte,da operatori,maschi,2017,13
piemonte,da operatori,maschi,2018,15
piemonte,da operatori,maschi,2019,16
piemonte,da operatori,maschi,2020,12
piemonte,da operatori,maschi,2021,22
piemonte,da operatori,maschi,2022,21
piemonte,da operatori,maschi,2023,71
piemonte,da operatori,maschi,2024,70
piemonte,da operatori,femmine,2015,13
piemonte,da operatori,femmine,2016,16
piemonte,da operatori,femmine,2017,10
piemonte,da operatori,femmine,2018,14
piemonte,da operatori,femmine,2019,13
piemonte,da operatori,femmine,2020,22
piemonte,da operatori,femmine,2021,14
piemonte,da operatori,femmine,2022,10
piemonte,da operatori,femmine,2023,162
piemonte,da operatori,femmine,2024,199
piemonte,da operatori,non indicato,2024,2
piemonte,da parenti/amici/conoscenti,maschi,2015,29
piemonte,da parenti/amici/conoscenti,maschi,2016,15
piemonte,da parenti/amici/conoscenti,maschi,2017,34
piemonte,da parenti/amici/conoscenti,maschi,2018,15
piemonte,da parenti/amici/conoscenti,maschi,2019,11
piemonte,da parenti/amici/conoscenti,maschi,2020,25
piemonte,da parenti/amici/conoscenti,maschi,2021,28
piemonte,da parenti/amici/conoscenti,maschi,2022,15
piemonte,da parenti/amici/conoscenti,maschi,2023,46
piemonte,da parenti/amici/conoscenti,maschi,2024,82
piemonte,da parenti/amici/conoscenti,femmine,2015,142
piemonte,da parenti/amici/conoscenti,femmine,2016,127
piemonte,da parenti/amici/conoscenti,femmine,2017,81
piemonte,da parenti/amici/conoscenti,femmine,2018,83
piemonte,da parenti/amici/conoscenti,femmine,2019,55
piemonte,da parenti/amici/conoscenti,femmine,2020,70
piemonte,da parenti/amici/conoscenti,femmine,2021,89
piemonte,da parenti/amici/conoscenti,femmine,2022,60
piemonte,da parenti/amici/conoscenti,femmine,2023,169
piemonte,da parenti/amici/conoscenti,femmine,2024,244
piemonte,da parenti/amici/conoscenti,non indicato,2023,3
piemonte,da parenti/amici/conoscenti,non indicato,2024,3
piemonte,altre chiamate valide,maschi,2015,6
piemonte,altre chiamate valide,maschi,2016,2
piemonte,altre chiamate valide,maschi,2017,2
piemonte,altre chiamate valide,maschi,2018,3
piemonte,altre chiamate valide,maschi,2019,1
piemonte,altre chiamate valide,maschi,2020,4
piemonte,altre chiamate valide,maschi,2021,3
piemonte,altre chiamate valide,maschi,2022,4
