territorio,canale_segnalazione,sesso,orientamento_sessuale,periodo,numero_vittime
nord ovest,Utenti del 1522,maschi,omosessuale,2022,13
nord ovest,Utenti del 1522,maschi,transessuale,2016,5
nord ovest,Utenti del 1522,maschi,transessuale,2017,5
nord ovest,Utenti del 1522,maschi,transessuale,2018,5
nord ovest,Utenti del 1522,maschi,transessuale,2020,12
nord ovest,Utenti del 1522,maschi,transessuale,2021,3
nord ovest,Utenti del 1522,maschi,transessuale,2022,2
nord ovest,Utenti del 1522,maschi,missing,2023,931
nord ovest,Utenti del 1522,maschi,missing,2024,1141
nord ovest,Utenti del 1522,maschi,altro o non indicato,2015,431
nord ovest,Utenti del 1522,maschi,altro o non indicato,2016,406
nord ovest,Utenti del 1522,maschi,altro o non indicato,2017,456
nord ovest,Utenti del 1522,maschi,altro o non indicato,2018,479
nord ovest,Utenti del 1522,maschi,altro o non indicato,2019,484
nord ovest,Utenti del 1522,maschi,altro o non indicato,2020,621
nord ovest,Utenti del 1522,maschi,altro o non indicato,2021,556
nord ovest,Utenti del 1522,maschi,altro o non indicato,2022,609
nord ovest,Utenti del 1522,femmine,omosessuale,2015,2
nord ovest,Utenti del 1522,femmine,omosessuale,2016,5
nord ovest,Utenti del 1522,femmine,omosessuale,2017,6
nord ovest,Utenti del 1522,femmine,omosessuale,2018,3
nord ovest,Utenti del 1522,femmine,omosessuale,2019,4
nord ovest,Utenti del 1522,femmine,omosessuale,2020,13
nord ovest,Utenti del 1522,femmine,omosessuale,2021,11
nord ovest,Utenti del 1522,femmine,omosessuale,2022,10
nord ovest,Utenti del 1522,femmine,transessuale,2015,6
nord ovest,Utenti del 1522,femmine,transessuale,2016,16
nord ovest,Utenti del 1522,femmine,transessuale,2017,9
nord ovest,Utenti del 1522,femmine,transessuale,2018,6
nord ovest,Utenti del 1522,femmine,transessuale,2019,5
nord ovest,Utenti del 1522,femmine,transessuale,2020,32
nord ovest,Utenti del 1522,femmine,transessuale,2021,21
nord ovest,Utenti del 1522,femmine,transessuale,2022,11
nord ovest,Utenti del 1522,femmine,missing,2023,7692
nord ovest,Utenti del 1522,femmine,missing,2024,10475
nord ovest,Utenti del 1522,femmine,altro o non indicato,2015,4359
nord ovest,Utenti del 1522,femmine,altro o non indicato,2016,4188
nord ovest,Utenti del 1522,femmine,altro o non indicato,2017,3756
nord ovest,Utenti del 1522,femmine,altro o non indicato,2018,4789
nord ovest,Utenti del 1522,femmine,altro o non indicato,2019,4519
nord ovest,Utenti del 1522,femmine,altro o non indicato,2020,5935
nord ovest,Utenti del 1522,femmine,altro o non indicato,2021,5787
nord ovest,Utenti del 1522,femmine,altro o non indicato,2022,5446
nord ovest,Utenti del 1522,non indicato,missing,2023,42
nord ovest,Utenti del 1522,non indicato,missing,2024,42
piemonte,Utenti del 1522,maschi,omosessuale,2016,4
piemonte,Utenti del 1522,maschi,omosessuale,2017,4
piemonte,Utenti del 1522,maschi,omosessuale,2018,2
piemonte,Utenti del 1522,maschi,omosessuale,2019,2
piemonte,Utenti del 1522,maschi,omosessuale,2020,4
piemonte,Utenti del 1522,maschi,omosessuale,2021,5
piemonte,Utenti del 1522,maschi,omosessuale,2022,1
piemonte,Utenti del 1522,maschi,transessuale,2016,1
piemonte,Utenti del 1522,maschi,transessuale,2017,3
piemonte,Utenti del 1522,maschi,transessuale,2018,2
piemonte,Utenti del 1522,maschi,transessuale,2020,4
piemonte,Utenti del 1522,maschi,transessuale,2022,1
piemonte,Utenti del 1522,maschi,missing,2023,239
piemonte,Utenti del 1522,maschi,missing,2024,299
piemonte,Utenti del 1522,maschi,altro o non indicato,2015,149
piemonte,Utenti del 1522,maschi,altro o non indicato,2016,140
piemonte,Utenti del 1522,maschi,altro o non indicato,2017,172
piemonte,Utenti del 1522,maschi,altro o non indicato,2018,133
piemonte,Utenti del 1522,maschi,altro o non indicato,2019,148
piemonte,Utenti del 1522,maschi,altro o non indicato,2020,165
piemonte,Utenti del 1522,maschi,altro o non indicato,2021,160
piemonte,Utenti del 1522,maschi,altro o non indicato,2022,161
piemonte,Utenti del 1522,femmine,omosessuale,2017,3
piemonte,Utenti del 1522,femmine,omosessuale,2019,2
piemonte,Utenti del 1522,femmine,omosessuale,2020,5
piemonte,Utenti del 1522,femmine,omosessuale,2021,5
piemonte,Utenti del 1522,femmine,omosessuale,2022,2
piemonte,Utenti del 1522,femmine,transessuale,2015,1
piemonte,Utenti del 1522,femmine,transessuale,2016,4
piemonte,Utenti del 1522,femmine,transessuale,2017,1
piemonte,Utenti del 1522,femmine,transessuale,2018,1
piemonte,Utenti del 1522,femmine,transessuale,2019,1
piemonte,Utenti del 1522,femmine,transessuale,2020,4
piemonte,Utenti del 1522,femmine,transessuale,2021,8
piemonte,Utenti del 1522,femmine,transessuale,2022,4
piemonte,Utenti del 1522,femmine,missing,2023,2156
piemonte,Utenti del 1522,femmine,missing,2024,2734
piemonte,Utenti del 1522,femmine,altro o non indicato,2015,1364
piemonte,Utenti del 1522,femmine,altro o non indicato,2016,1315
piemonte,Utenti del 1522,femmine,altro o non indicato,2017,1104
piemonte,Utenti del 1522,femmine,altro o non indicato,2018,1417
piemonte,Utenti del 1522,femmine,altro o non indicato,2019,1344
piemonte,Utenti del 1522,femmine,altro o non indicato,2020,1690
piemonte,Utenti del 1522,femmine,altro o non indicato,2021,1602
piemonte,Utenti del 1522,femmine,altro o non indicato,2022,1499
piemonte,Utenti del 1522,non indicato,missing,2023,8
piemonte,Utenti del 1522,non indicato,missing,2024,11
liguria,Utenti del 1522,maschi,omosessuale,2016,2
liguria,Utenti del 1522,maschi,omosessuale,2019,1
liguria,Utenti del 1522,maschi,omosessuale,2020,3
