territorio,sesso,stato_denuncia,periodo,numero_vittime
trento,maschi,non disponibile,2015,3
trento,maschi,non disponibile,2018,1
trento,maschi,non disponibile,2020,1
trento,maschi,non disponibile,2021,3
trento,maschi,non disponibile,2022,1
trento,femmine,denuncia,2015,5
trento,femmine,denuncia,2016,6
trento,femmine,denuncia,2017,5
trento,femmine,denuncia,2018,7
trento,femmine,denuncia,2019,9
trento,femmine,denuncia,2020,9
trento,femmine,denuncia,2021,10
trento,femmine,denuncia,2022,14
trento,femmine,ritira la denuncia,2015,1
trento,femmine,ritira la denuncia,2016,2
trento,femmine,ritira la denuncia,2019,1
trento,femmine,ritira la denuncia,2020,1
trento,femmine,ritira la denuncia,2021,3
trento,femmine,ritira la denuncia,2022,3
trento,femmine,non denuncia,2015,29
trento,femmine,non denuncia,2016,27
trento,femmine,non denuncia,2017,17
trento,femmine,non denuncia,2018,42
trento,femmine,non denuncia,2019,51
trento,femmine,non denuncia,2020,55
trento,femmine,non denuncia,2021,79
trento,femmine,non denuncia,2022,51
trento,femmine,non risponde,2021,4
trento,femmine,non risponde,2022,1
trento,femmine,non disponibile,2015,1
trento,femmine,non disponibile,2016,6
trento,femmine,non disponibile,2017,1
trento,femmine,non disponibile,2018,8
trento,femmine,non disponibile,2019,1
trento,femmine,non disponibile,2020,11
trento,femmine,non disponibile,2021,17
trento,femmine,non disponibile,2022,6
veneto,maschi,denuncia,2015,3
veneto,maschi,denuncia,2016,2
veneto,maschi,denuncia,2017,3
veneto,maschi,denuncia,2018,1
veneto,maschi,denuncia,2019,2
veneto,maschi,denuncia,2020,2
veneto,maschi,denuncia,2021,6
veneto,maschi,denuncia,2023,5
veneto,maschi,denuncia,2024,4
veneto,maschi,ritira la denuncia,2016,2
veneto,maschi,ritira la denuncia,2019,1
veneto,maschi,ritira la denuncia,2024,1
veneto,maschi,non denuncia,2015,19
veneto,maschi,non denuncia,2016,11
veneto,maschi,non denuncia,2017,11
veneto,maschi,non denuncia,2018,15
veneto,maschi,non denuncia,2019,12
veneto,maschi,non denuncia,2020,23
veneto,maschi,non denuncia,2021,16
veneto,maschi,non denuncia,2022,10
veneto,maschi,non denuncia,2023,19
veneto,maschi,non denuncia,2024,15
veneto,maschi,non risponde,2023,4
veneto,maschi,non disponibile,2015,2
veneto,maschi,non disponibile,2016,3
veneto,maschi,non disponibile,2017,1
veneto,maschi,non disponibile,2018,2
veneto,maschi,non disponibile,2020,11
veneto,maschi,non disponibile,2021,6
veneto,femmine,denuncia,2015,62
veneto,femmine,denuncia,2016,68
veneto,femmine,denuncia,2017,64
veneto,femmine,denuncia,2018,99
veneto,femmine,denuncia,2019,94
veneto,femmine,denuncia,2020,111
veneto,femmine,denuncia,2021,171
