sesso,titolo_studio,imput_affermazione,grado_accordo,percentuale
maschi,media_inferiore,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,5.1
maschi,media_inferiore,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,86.5
maschi,media_inferiore,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,6.1
maschi,media_inferiore,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,2.2
maschi,media_inferiore,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,8.9
maschi,media_inferiore,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,14.1
maschi,media_inferiore,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,59.7
maschi,media_inferiore,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,15.1
maschi,media_inferiore,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,5.0
maschi,media_inferiore,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,13.1
maschi,media_inferiore,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,11.6
maschi,media_inferiore,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,62.9
maschi,media_inferiore,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,7.5
maschi,media_inferiore,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,2.7
maschi,media_inferiore,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,12.9
maschi,media_inferiore,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,31.5
maschi,media_inferiore,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,40.4
maschi,media_inferiore,Spesso le accuse di violenza sessuale sono false,non_risponde,12.4
maschi,diploma_o_equivalente,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,5.1
maschi,diploma_o_equivalente,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,16.2
