territorio,motivo_chiamata,sesso,nazionalità_utente,periodo,numero_vittime
italia,richiesta di aiuto vittima di violenza,maschi,italia,2016,139
italia,richiesta di aiuto vittima di violenza,maschi,italia,2017,169
italia,richiesta di aiuto vittima di violenza,maschi,italia,2018,168
italia,richiesta di aiuto vittima di violenza,maschi,italia,2019,154
italia,richiesta di aiuto vittima di violenza,maschi,italia,2020,339
italia,richiesta di aiuto vittima di violenza,maschi,italia,2021,290
italia,richiesta di aiuto vittima di violenza,maschi,italia,2022,132
italia,richiesta di aiuto vittima di violenza,maschi,italia,2023,318
italia,richiesta di aiuto vittima di violenza,maschi,italia,2024,368
italia,richiesta di aiuto vittima di violenza,femmine,estero,2015,5163
italia,richiesta di aiuto vittima di violenza,femmine,estero,2016,5285
italia,richiesta di aiuto vittima di violenza,femmine,estero,2017,5307
italia,richiesta di aiuto vittima di violenza,femmine,estero,2018,6881
italia,richiesta di aiuto vittima di violenza,femmine,estero,2019,6318
italia,richiesta di aiuto vittima di violenza,femmine,estero,2020,11300
italia,richiesta di aiuto vittima di violenza,femmine,estero,2021,11489
italia,richiesta di aiuto vittima di violenza,femmine,estero,2022,8990
italia,richiesta di aiuto vittima di violenza,femmine,estero,2023,11295
italia,richiesta di aiuto vittima di violenza,femmine,estero,2024,12648
italia,richiesta di aiuto vittima di violenza,femmine,estero,2015,739
italia,richiesta di aiuto vittima di violenza,femmine,estero,2016,738
italia,richiesta di aiuto vittima di violenza,femmine,estero,2017,759
italia,richiesta di aiuto vittima di violenza,femmine,estero,2018,906
italia,richiesta di aiuto vittima di violenza,femmine,estero,2019,969
italia,richiesta di aiuto vittima di violenza,femmine,estero,2020,1235
italia,richiesta di aiuto vittima di violenza,femmine,estero,2021,1288
italia,richiesta di aiuto vittima di violenza,femmine,estero,2022,1230
italia,richiesta di aiuto vittima di violenza,femmine,estero,2023,1440
italia,richiesta di aiuto vittima di violenza,femmine,estero,2024,1494
italia,richiesta di aiuto vittima di violenza,femmine,italia,2015,4424
italia,richiesta di aiuto vittima di violenza,femmine,italia,2016,4547
italia,richiesta di aiuto vittima di violenza,femmine,italia,2017,4548
italia,richiesta di aiuto vittima di violenza,femmine,italia,2018,5975
italia,richiesta di aiuto vittima di violenza,femmine,italia,2019,5349
italia,richiesta di aiuto vittima di violenza,femmine,italia,2020,10065
italia,richiesta di aiuto vittima di violenza,femmine,italia,2021,10201
italia,richiesta di aiuto vittima di violenza,femmine,italia,2022,7760
italia,richiesta di aiuto vittima di violenza,femmine,italia,2023,9855
italia,richiesta di aiuto vittima di violenza,femmine,italia,2024,11154
italia,richiesta di aiuto vittima di violenza,non indicato,estero,2023,679
italia,richiesta di aiuto vittima di violenza,non indicato,estero,2024,460
italia,richiesta di aiuto vittima di violenza,non indicato,estero,2023,1
italia,richiesta di aiuto vittima di violenza,non indicato,estero,2024,2
italia,richiesta di aiuto vittima di violenza,non indicato,italia,2023,51
italia,richiesta di aiuto vittima di violenza,non indicato,italia,2024,34
italia,richiesta di aiuto vittima di violenza,non indicato,non indicato,2023,627
italia,richiesta di aiuto vittima di violenza,non indicato,non indicato,2024,424
italia,richiesta di aiuto per discriminazione,maschi,estero,2016,1
italia,richiesta di aiuto per discriminazione,maschi,estero,2020,11
italia,richiesta di aiuto per discriminazione,maschi,estero,2021,9
italia,richiesta di aiuto per discriminazione,maschi,estero,2022,3
italia,richiesta di aiuto per discriminazione,maschi,estero,2024,5
italia,richiesta di aiuto per discriminazione,maschi,estero,2020,2
italia,richiesta di aiuto per discriminazione,maschi,estero,2021,1
italia,richiesta di aiuto per discriminazione,maschi,estero,2022,1
italia,richiesta di aiuto per discriminazione,maschi,estero,2024,2
italia,richiesta di aiuto per discriminazione,maschi,italia,2020,9
italia,richiesta di aiuto per discriminazione,maschi,italia,2021,8
italia,richiesta di aiuto per discriminazione,maschi,italia,2022,2
italia,richiesta di aiuto per discriminazione,maschi,italia,2024,3
italia,richiesta di aiuto per discriminazione,femmine,estero,2020,5
italia,richiesta di aiuto per discriminazione,femmine,estero,2021,9
italia,richiesta di aiuto per discriminazione,femmine,estero,2022,1
italia,richiesta di aiuto per discriminazione,femmine,estero,2023,1
italia,richiesta di aiuto per discriminazione,femmine,estero,2024,1
italia,richiesta di aiuto per discriminazione,femmine,estero,2020,2
italia,richiesta di aiuto per discriminazione,femmine,estero,2021,2
italia,richiesta di aiuto per discriminazione,femmine,italia,2020,3
italia,richiesta di aiuto per discriminazione,femmine,italia,2021,7
italia,richiesta di aiuto per discriminazione,femmine,italia,2023,1
italia,richiesta di aiuto per discriminazione,femmine,italia,2024,1
italia,segnalazione di un caso di violenza,maschi,estero,2015,340
italia,segnalazione di un caso di violenza,maschi,estero,2016,301
italia,segnalazione di un caso di violenza,maschi,estero,2017,314
italia,segnalazione di un caso di violenza,maschi,estero,2018,230
italia,segnalazione di un caso di violenza,maschi,estero,2019,223
italia,segnalazione di un caso di violenza,maschi,estero,2020,539
italia,segnalazione di un caso di violenza,maschi,estero,2021,738
italia,segnalazione di un caso di violenza,maschi,estero,2022,355
italia,segnalazione di un caso di violenza,maschi,estero,2023,448
italia,segnalazione di un caso di violenza,maschi,estero,2024,328
italia,segnalazione di un caso di violenza,maschi,estero,2015,20
italia,segnalazione di un caso di violenza,maschi,estero,2016,16
italia,segnalazione di un caso di violenza,maschi,estero,2017,28
italia,segnalazione di un caso di violenza,maschi,estero,2018,17
italia,segnalazione di un caso di violenza,maschi,estero,2019,13
italia,segnalazione di un caso di violenza,maschi,estero,2020,27
italia,segnalazione di un caso di violenza,maschi,estero,2021,24
italia,segnalazione di un caso di violenza,maschi,estero,2022,20
italia,segnalazione di un caso di violenza,maschi,estero,2023,14
italia,segnalazione di un caso di violenza,maschi,estero,2024,14
italia,segnalazione di un caso di violenza,maschi,italia,2015,320
italia,segnalazione di un caso di violenza,maschi,italia,2016,285
italia,segnalazione di un caso di violenza,maschi,italia,2017,286
italia,segnalazione di un caso di violenza,maschi,italia,2018,213
italia,segnalazione di un caso di violenza,maschi,italia,2019,210
italia,segnalazione di un caso di violenza,maschi,italia,2020,512
italia,segnalazione di un caso di violenza,maschi,italia,2021,714
italia,segnalazione di un caso di violenza,maschi,italia,2022,335
italia,segnalazione di un caso di violenza,maschi,italia,2023,434
italia,segnalazione di un caso di violenza,maschi,italia,2024,314
italia,segnalazione di un caso di violenza,femmine,estero,2015,1214
italia,segnalazione di un caso di violenza,femmine,estero,2016,1285
italia,segnalazione di un caso di violenza,femmine,estero,2017,1197
italia,segnalazione di un caso di violenza,femmine,estero,2018,1189
italia,segnalazione di un caso di violenza,femmine,estero,2019,875
italia,segnalazione di un caso di violenza,femmine,estero,2020,2042
italia,segnalazione di un caso di violenza,femmine,estero,2021,2158
italia,segnalazione di un caso di violenza,femmine,estero,2022,1267
italia,segnalazione di un caso di violenza,femmine,estero,2023,1728
italia,segnalazione di un caso di violenza,femmine,estero,2024,1582
italia,segnalazione di un caso di violenza,femmine,estero,2015,102
italia,segnalazione di un caso di violenza,femmine,estero,2016,110
italia,segnalazione di un caso di violenza,femmine,estero,2017,97
italia,segnalazione di un caso di violenza,femmine,estero,2018,84
italia,segnalazione di un caso di violenza,femmine,estero,2019,79
italia,segnalazione di un caso di violenza,femmine,estero,2020,128
italia,segnalazione di un caso di violenza,femmine,estero,2021,107
italia,segnalazione di un caso di violenza,femmine,estero,2022,83
italia,segnalazione di un caso di violenza,femmine,estero,2023,120
italia,segnalazione di un caso di violenza,femmine,estero,2024,65
italia,segnalazione di un caso di violenza,femmine,italia,2015,1112
italia,segnalazione di un caso di violenza,femmine,italia,2016,1175
italia,segnalazione di un caso di violenza,femmine,italia,2017,1100
italia,segnalazione di un caso di violenza,femmine,italia,2018,1105
italia,segnalazione di un caso di violenza,femmine,italia,2019,796
italia,segnalazione di un caso di violenza,femmine,italia,2020,1914
italia,segnalazione di un caso di violenza,femmine,italia,2021,2051
italia,segnalazione di un caso di violenza,femmine,italia,2022,1184
italia,segnalazione di un caso di violenza,femmine,italia,2023,1608
italia,segnalazione di un caso di violenza,femmine,italia,2024,1517
italia,segnalazione di un caso di violenza,non indicato,estero,2023,122
italia,segnalazione di un caso di violenza,non indicato,estero,2024,70
italia,segnalazione di un caso di violenza,non indicato,estero,2023,1
italia,segnalazione di un caso di violenza,non indicato,estero,2024,2
italia,segnalazione di un caso di violenza,non indicato,italia,2023,40
italia,segnalazione di un caso di violenza,non indicato,italia,2024,14
italia,segnalazione di un caso di violenza,non indicato,non indicato,2023,81
italia,segnalazione di un caso di violenza,non indicato,non indicato,2024,54
italia,emergenza,maschi,estero,2015,16
italia,emergenza,maschi,estero,2016,6
italia,emergenza,maschi,estero,2017,11
italia,emergenza,maschi,estero,2018,10
italia,emergenza,maschi,estero,2019,12
italia,emergenza,maschi,estero,2020,4
italia,emergenza,maschi,estero,2021,2
italia,emergenza,maschi,estero,2022,2
italia,emergenza,maschi,estero,2023,16
italia,emergenza,maschi,estero,2024,7
italia,emergenza,maschi,estero,2017,1
