territorio,età,celibi,coniugati,divorziati,vedovi,uniti_civilmente,maschi_ex_unione_scioglimento,maschi_ex_unione_decesso,totale_maschi,nubili,coniugate,divorziate,vedove,unite_civilmente,femmine_ex_unione_scioglimento,femmine_ex_unione_decesso,totale_femmine,totale
valle d'aosta,92,7,35,3,33,0,0,0,78,19,15,3,160,0,0,0,197,275
valle d'aosta,93,4,22,0,25,0,0,0,51,13,7,4,158,0,0,0,182,233
valle d'aosta,94,5,17,1,18,0,0,0,41,13,9,3,129,0,0,0,154,195
valle d'aosta,95,1,15,0,20,0,0,0,36,8,5,1,94,0,0,0,108,144
valle d'aosta,96,0,12,1,5,0,0,0,18,6,4,0,75,0,0,0,85,103
valle d'aosta,97,1,7,0,4,0,0,0,12,5,0,0,40,0,0,0,45,57
valle d'aosta,98,0,3,0,4,0,0,0,7,4,0,1,38,0,0,0,43,50
valle d'aosta,99,1,1,1,4,0,0,0,7,0,0,0,18,0,0,0,18,25
valle d'aosta,100,0,0,0,3,0,0,0,3,3,0,0,35,0,0,0,38,41
valle d'aosta,999,30522,24834,3084,1671,48,1,2,60162,25484,24999,4119,7732,32,4,0,62370,122532
veneto,0,15479,0,0,0,0,0,0,15479,14575,0,0,0,0,0,0,14575,30054
veneto,1,15751,0,0,0,0,0,0,15751,14959,0,0,0,0,0,0,14959,30710
veneto,2,16609,0,0,0,0,0,0,16609,15731,0,0,0,0,0,0,15731,32340
veneto,3,17218,0,0,0,0,0,0,17218,16418,0,0,0,0,0,0,16418,33636
veneto,4,17600,0,0,0,0,0,0,17600,16130,0,0,0,0,0,0,16130,33730
veneto,5,17866,0,0,0,0,0,0,17866,16818,0,0,0,0,0,0,16818,34684
veneto,6,18846,0,0,0,0,0,0,18846,17768,0,0,0,0,0,0,17768,36614
veneto,7,19684,0,0,0,0,0,0,19684,18428,0,0,0,0,0,0,18428,38112
veneto,8,20242,0,0,0,0,0,0,20242,19001,0,0,0,0,0,0,19001,39243
veneto,9,20721,0,0,0,0,0,0,20721,19705,0,0,0,0,0,0,19705,40426
veneto,10,21280,0,0,0,0,0,0,21280,20386,0,0,0,0,0,0,20386,41666
veneto,11,21953,0,0,0,0,0,0,21953,20685,0,0,0,0,0,0,20685,42638
veneto,12,22911,0,0,0,0,0,0,22911,21626,0,0,0,0,0,0,21626,44537
veneto,13,23199,0,0,0,0,0,0,23199,22126,0,0,0,0,0,0,22126,45325
veneto,14,24148,0,0,0,0,0,0,24148,22577,0,0,0,0,0,0,22577,46725
veneto,15,24466,0,0,0,0,0,0,24466,22928,0,0,0,0,0,0,22928,47394
veneto,16,24938,0,0,0,0,0,0,24938,23511,1,1,0,0,0,0,23513,48451
veneto,17,24695,0,1,0,0,0,0,24696,23307,0,0,0,0,0,0,23307,48003
veneto,18,24973,2,0,0,0,0,0,24975,23243,10,0,0,0,0,0,23253,48228
veneto,19,25254,9,0,0,0,0,0,25263,22983,72,0,0,0,0,0,23055,48318
veneto,20,25986,22,1,0,0,0,0,26009,23237,159,1,0,2,0,0,23399,49408
veneto,21,25346,31,1,2,0,0,0,25380,22797,326,2,0,1,0,0,23126,48506
veneto,22,25197,85,1,1,2,0,0,25286,22190,512,8,0,1,0,0,22711,47997
veneto,23,25273,174,11,0,5,0,0,25463,21906,823,18,0,2,0,0,22749,48212
veneto,24,26092,354,19,0,2,0,0,26467,22689,1231,28,0,4,0,0,23952,50419
veneto,25,25646,538,16,1,6,0,0,26207,22012,1784,53,4,7,0,0,23860,50067
veneto,26,25952,903,28,3,12,0,0,26898,21470,2368,50,3,15,0,0,23906,50804
veneto,27,25191,1300,41,1,14,0,0,26547,20644,3112,67,3,11,2,0,23839,50386
veneto,28,24593,1809,42,2,10,0,0,26456,19555,3991,86,5,22,3,0,23662,50118
veneto,29,23499,2635,67,2,31,1,0,26235,18082,5160,110,13,19,1,0,23385,49620
veneto,30,22513,3335,72,4,15,2,0,25941,17260,6261,149,10,28,2,0,23710,49651
veneto,31,21298,4218,97,0,28,2,0,25643,16490,7547,190,18,32,1,0,24278,49921
veneto,32,21272,5492,125,1,18,2,0,26910,15674,8846,274,19,42,3,1,24859,51769
veneto,33,19703,6429,167,29,25,2,0,26355,14811,9842,330,32,40,0,0,25055,51410
veneto,34,19129,7734,218,15,45,6,0,27147,13897,10936,386,56,41,2,0,25318,52465
veneto,35,17580,8564,218,20,53,1,0,26436,13006,11894,540,37,56,8,0,25541,51977
veneto,36,16999,9662,327,22,49,3,0,27062,12392,13081,636,60,49,6,0,26224,53286
veneto,37,15464,10320,352,32,45,2,0,26215,11184,13303,676,57,62,5,0,25287,51502
veneto,38,14617,10916,412,29,67,3,0,26044,10667,14276,859,107,45,1,0,25955,51999
