territorio,sesso,imput_affermazione,grado_accordo,percentuale
italia,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,3.2
italia,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,11.3
italia,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,12.3
italia,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,66.9
italia,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,6.2
italia,femmine,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,1.0
italia,femmine,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,6.9
italia,femmine,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,29.0
italia,femmine,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,53.1
italia,femmine,Spesso le accuse di violenza sessuale sono false,non_risponde,9.9
nord ovest,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,3.9
nord ovest,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,17.8
nord ovest,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,23.0
nord ovest,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,51.0
nord ovest,maschi,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,4.2
nord ovest,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,11.6
nord ovest,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,27.0
nord ovest,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,25.5
nord ovest,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,29.2
nord ovest,maschi,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,6.7
nord ovest,maschi,Le donne serie non vengono violentate,molto_d_accordo,0.9
nord ovest,maschi,Le donne serie non vengono violentate,abbastanza_d_accordo,4.2
nord ovest,maschi,Le donne serie non vengono violentate,poco_d_accordo,10.4
nord ovest,maschi,Le donne serie non vengono violentate,per_niente_d_accordo,79.7
nord ovest,maschi,Le donne serie non vengono violentate,non_risponde,4.8
nord ovest,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.7
nord ovest,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,0.9
nord ovest,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,5.6
nord ovest,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,88.4
nord ovest,maschi,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,4.4
nord ovest,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,0.6
nord ovest,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,7.1
nord ovest,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,15.6
nord ovest,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,64.3
nord ovest,maschi,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,12.5
nord ovest,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,2.4
nord ovest,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,15.1
nord ovest,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,12.0
nord ovest,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,65.3
nord ovest,maschi,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,5.2
nord ovest,maschi,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,1.5
nord ovest,maschi,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,10.9
nord ovest,maschi,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,33.2
nord ovest,maschi,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,42.6
nord ovest,maschi,Spesso le accuse di violenza sessuale sono false,non_risponde,11.9
nord ovest,femmine,Le donne possono provocare la violenza sessuale con il loro modo di vestire,molto_d_accordo,5.2
nord ovest,femmine,Le donne possono provocare la violenza sessuale con il loro modo di vestire,abbastanza_d_accordo,16.9
nord ovest,femmine,Le donne possono provocare la violenza sessuale con il loro modo di vestire,poco_d_accordo,20.0
nord ovest,femmine,Le donne possono provocare la violenza sessuale con il loro modo di vestire,per_niente_d_accordo,54.0
nord ovest,femmine,Le donne possono provocare la violenza sessuale con il loro modo di vestire,non_risponde,3.9
nord ovest,femmine,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,molto_d_accordo,9.0
nord ovest,femmine,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,abbastanza_d_accordo,24.6
nord ovest,femmine,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,poco_d_accordo,25.9
nord ovest,femmine,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,per_niente_d_accordo,33.7
nord ovest,femmine,Le donne che non vogliono un rapporto sessuale riescono ad evitarlo,non_risponde,6.9
nord ovest,femmine,Le donne serie non vengono violentate,molto_d_accordo,1.6
nord ovest,femmine,Le donne serie non vengono violentate,abbastanza_d_accordo,2.8
nord ovest,femmine,Le donne serie non vengono violentate,poco_d_accordo,5.6
nord ovest,femmine,Le donne serie non vengono violentate,per_niente_d_accordo,85.8
nord ovest,femmine,Le donne serie non vengono violentate,non_risponde,4.2
nord ovest,femmine,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",molto_d_accordo,0.6
nord ovest,femmine,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",abbastanza_d_accordo,1.3
nord ovest,femmine,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",poco_d_accordo,3.2
nord ovest,femmine,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",per_niente_d_accordo,90.8
nord ovest,femmine,"Se un marito/compagno obbliga la moglie/compagna ad avere un rapporto sessuale contro la sua volontà, non è una violenza",non_risponde,3.9
nord ovest,femmine,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,molto_d_accordo,0.7
nord ovest,femmine,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,abbastanza_d_accordo,4.5
nord ovest,femmine,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,poco_d_accordo,12.2
nord ovest,femmine,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,per_niente_d_accordo,74.0
nord ovest,femmine,Di fronte a una proposta sessuale le donne spesso dicono no ma in realtà intendono sì,non_risponde,8.6
nord ovest,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,molto_d_accordo,2.7
nord ovest,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,abbastanza_d_accordo,9.9
nord ovest,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,poco_d_accordo,12.3
nord ovest,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,per_niente_d_accordo,70.1
nord ovest,femmine,Se una donna subisce una violenza sessuale quando è ubriaca o è sotto l’effetto di droghe è almeno in parte responsabile,non_risponde,5.0
nord ovest,femmine,Spesso le accuse di violenza sessuale sono false,molto_d_accordo,0.8
nord ovest,femmine,Spesso le accuse di violenza sessuale sono false,abbastanza_d_accordo,7.5
nord ovest,femmine,Spesso le accuse di violenza sessuale sono false,poco_d_accordo,29.1
nord ovest,femmine,Spesso le accuse di violenza sessuale sono false,per_niente_d_accordo,53.5
