territorio,indicatore,sesso,presenza_disabilità,periodo,numero_vittime
nord ovest,Utenti del 1522,femmine,no,2022,3241
nord ovest,Utenti del 1522,femmine,no,2023,1901
nord ovest,Utenti del 1522,femmine,no,2024,3652
nord ovest,Utenti del 1522,femmine,si,2015,88
nord ovest,Utenti del 1522,femmine,si,2016,87
nord ovest,Utenti del 1522,femmine,si,2017,87
nord ovest,Utenti del 1522,femmine,si,2018,95
nord ovest,Utenti del 1522,femmine,si,2019,99
nord ovest,Utenti del 1522,femmine,si,2020,314
nord ovest,Utenti del 1522,femmine,si,2021,496
nord ovest,Utenti del 1522,femmine,si,2022,264
nord ovest,Utenti del 1522,femmine,si,2023,1381
nord ovest,Utenti del 1522,femmine,si,2024,440
nord ovest,Utenti del 1522,femmine,non indicato,2015,553
nord ovest,Utenti del 1522,femmine,non indicato,2016,384
nord ovest,Utenti del 1522,femmine,non indicato,2017,260
nord ovest,Utenti del 1522,femmine,non indicato,2018,66
nord ovest,Utenti del 1522,femmine,non indicato,2019,56
nord ovest,Utenti del 1522,femmine,non indicato,2020,858
nord ovest,Utenti del 1522,femmine,non indicato,2021,1822
nord ovest,Utenti del 1522,femmine,non indicato,2022,1962
nord ovest,Utenti del 1522,femmine,non indicato,2023,4410
nord ovest,Utenti del 1522,femmine,non indicato,2024,6383
nord ovest,Utenti del 1522,non indicato,no,2023,1
nord ovest,Utenti del 1522,non indicato,no,2024,2
nord ovest,Utenti del 1522,non indicato,si,2023,10
nord ovest,Utenti del 1522,non indicato,si,2024,7
nord ovest,Utenti del 1522,non indicato,non indicato,2023,31
nord ovest,Utenti del 1522,non indicato,non indicato,2024,33
piemonte,Utenti del 1522,maschi,no,2015,117
piemonte,Utenti del 1522,maschi,no,2016,119
piemonte,Utenti del 1522,maschi,no,2017,147
piemonte,Utenti del 1522,maschi,no,2018,125
piemonte,Utenti del 1522,maschi,no,2019,144
piemonte,Utenti del 1522,maschi,no,2020,136
piemonte,Utenti del 1522,maschi,no,2021,104
piemonte,Utenti del 1522,maschi,no,2022,73
piemonte,Utenti del 1522,maschi,no,2023,28
piemonte,Utenti del 1522,maschi,no,2024,47
piemonte,Utenti del 1522,maschi,si,2015,5
piemonte,Utenti del 1522,maschi,si,2016,6
piemonte,Utenti del 1522,maschi,si,2017,13
piemonte,Utenti del 1522,maschi,si,2018,3
piemonte,Utenti del 1522,maschi,si,2019,3
piemonte,Utenti del 1522,maschi,si,2020,7
piemonte,Utenti del 1522,maschi,si,2021,8
piemonte,Utenti del 1522,maschi,si,2022,7
piemonte,Utenti del 1522,maschi,si,2023,15
piemonte,Utenti del 1522,maschi,si,2024,10
piemonte,Utenti del 1522,maschi,non indicato,2015,27
piemonte,Utenti del 1522,maschi,non indicato,2016,19
piemonte,Utenti del 1522,maschi,non indicato,2017,16
piemonte,Utenti del 1522,maschi,non indicato,2018,8
piemonte,Utenti del 1522,maschi,non indicato,2019,3
piemonte,Utenti del 1522,maschi,non indicato,2020,28
piemonte,Utenti del 1522,maschi,non indicato,2021,53
piemonte,Utenti del 1522,maschi,non indicato,2022,83
piemonte,Utenti del 1522,maschi,non indicato,2023,196
piemonte,Utenti del 1522,maschi,non indicato,2024,242
piemonte,Utenti del 1522,femmine,no,2015,1165
piemonte,Utenti del 1522,femmine,no,2016,1182
piemonte,Utenti del 1522,femmine,no,2017,1004
piemonte,Utenti del 1522,femmine,no,2018,1376
piemonte,Utenti del 1522,femmine,no,2019,1299
piemonte,Utenti del 1522,femmine,no,2020,1352
piemonte,Utenti del 1522,femmine,no,2021,970
piemonte,Utenti del 1522,femmine,no,2022,889
piemonte,Utenti del 1522,femmine,no,2023,480
piemonte,Utenti del 1522,femmine,no,2024,907
piemonte,Utenti del 1522,femmine,si,2015,34
piemonte,Utenti del 1522,femmine,si,2016,27
piemonte,Utenti del 1522,femmine,si,2017,34
piemonte,Utenti del 1522,femmine,si,2018,23
piemonte,Utenti del 1522,femmine,si,2019,30
piemonte,Utenti del 1522,femmine,si,2020,99
piemonte,Utenti del 1522,femmine,si,2021,174
piemonte,Utenti del 1522,femmine,si,2022,78
piemonte,Utenti del 1522,femmine,si,2023,402
piemonte,Utenti del 1522,femmine,si,2024,99
piemonte,Utenti del 1522,femmine,non indicato,2015,166
piemonte,Utenti del 1522,femmine,non indicato,2016,110
piemonte,Utenti del 1522,femmine,non indicato,2017,69
piemonte,Utenti del 1522,femmine,non indicato,2018,19
piemonte,Utenti del 1522,femmine,non indicato,2019,17
piemonte,Utenti del 1522,femmine,non indicato,2020,248
piemonte,Utenti del 1522,femmine,non indicato,2021,471
piemonte,Utenti del 1522,femmine,non indicato,2022,538
piemonte,Utenti del 1522,femmine,non indicato,2023,1274
piemonte,Utenti del 1522,femmine,non indicato,2024,1728
piemonte,Utenti del 1522,non indicato,no,2024,1
piemonte,Utenti del 1522,non indicato,si,2023,5
piemonte,Utenti del 1522,non indicato,si,2024,3
piemonte,Utenti del 1522,non indicato,non indicato,2023,3
piemonte,Utenti del 1522,non indicato,non indicato,2024,7
liguria,Utenti del 1522,maschi,no,2015,37
liguria,Utenti del 1522,maschi,no,2016,28
liguria,Utenti del 1522,maschi,no,2017,28
liguria,Utenti del 1522,maschi,no,2018,41
liguria,Utenti del 1522,maschi,no,2019,38
liguria,Utenti del 1522,maschi,no,2020,48
liguria,Utenti del 1522,maschi,no,2021,28
liguria,Utenti del 1522,maschi,no,2022,24
liguria,Utenti del 1522,maschi,no,2023,9
liguria,Utenti del 1522,maschi,no,2024,15
liguria,Utenti del 1522,maschi,si,2015,3
liguria,Utenti del 1522,maschi,si,2016,1
liguria,Utenti del 1522,maschi,si,2018,2
liguria,Utenti del 1522,maschi,si,2020,6
liguria,Utenti del 1522,maschi,si,2021,5
liguria,Utenti del 1522,maschi,si,2023,6
liguria,Utenti del 1522,maschi,si,2024,2
liguria,Utenti del 1522,maschi,non indicato,2015,7
liguria,Utenti del 1522,maschi,non indicato,2016,2
liguria,Utenti del 1522,maschi,non indicato,2017,1
liguria,Utenti del 1522,maschi,non indicato,2018,1
liguria,Utenti del 1522,maschi,non indicato,2019,1
liguria,Utenti del 1522,maschi,non indicato,2020,11
liguria,Utenti del 1522,maschi,non indicato,2021,13
liguria,Utenti del 1522,maschi,non indicato,2022,30
liguria,Utenti del 1522,maschi,non indicato,2023,90
liguria,Utenti del 1522,maschi,non indicato,2024,86
liguria,Utenti del 1522,femmine,no,2015,424
liguria,Utenti del 1522,femmine,no,2016,412
liguria,Utenti del 1522,femmine,no,2017,338
liguria,Utenti del 1522,femmine,no,2018,465
liguria,Utenti del 1522,femmine,no,2019,442
liguria,Utenti del 1522,femmine,no,2020,424
liguria,Utenti del 1522,femmine,no,2021,315
liguria,Utenti del 1522,femmine,no,2022,310
liguria,Utenti del 1522,femmine,no,2023,151
liguria,Utenti del 1522,femmine,no,2024,293
liguria,Utenti del 1522,femmine,si,2015,8
liguria,Utenti del 1522,femmine,si,2016,11
liguria,Utenti del 1522,femmine,si,2017,7
liguria,Utenti del 1522,femmine,si,2018,11
liguria,Utenti del 1522,femmine,si,2019,10
liguria,Utenti del 1522,femmine,si,2020,38
liguria,Utenti del 1522,femmine,si,2021,60
liguria,Utenti del 1522,femmine,si,2022,25
liguria,Utenti del 1522,femmine,si,2023,104
liguria,Utenti del 1522,femmine,si,2024,41
liguria,Utenti del 1522,femmine,non indicato,2015,69
liguria,Utenti del 1522,femmine,non indicato,2016,43
liguria,Utenti del 1522,femmine,non indicato,2017,21
liguria,Utenti del 1522,femmine,non indicato,2018,7
liguria,Utenti del 1522,femmine,non indicato,2019,2
liguria,Utenti del 1522,femmine,non indicato,2020,85
liguria,Utenti del 1522,femmine,non indicato,2021,215
liguria,Utenti del 1522,femmine,non indicato,2022,191
liguria,Utenti del 1522,femmine,non indicato,2023,399
liguria,Utenti del 1522,femmine,non indicato,2024,540
liguria,Utenti del 1522,non indicato,no,2023,1
liguria,Utenti del 1522,non indicato,si,2024,1
liguria,Utenti del 1522,non indicato,non indicato,2023,2
liguria,Utenti del 1522,non indicato,non indicato,2024,3
lombardia,Utenti del 1522,maschi,no,2015,192
lombardia,Utenti del 1522,maschi,no,2016,202
lombardia,Utenti del 1522,maschi,no,2017,220
lombardia,Utenti del 1522,maschi,no,2018,279
lombardia,Utenti del 1522,maschi,no,2019,293
lombardia,Utenti del 1522,maschi,no,2020,340
lombardia,Utenti del 1522,maschi,no,2021,219
lombardia,Utenti del 1522,maschi,no,2022,196
lombardia,Utenti del 1522,maschi,no,2023,79
lombardia,Utenti del 1522,maschi,no,2024,93
lombardia,Utenti del 1522,maschi,si,2015,10
lombardia,Utenti del 1522,maschi,si,2016,13
lombardia,Utenti del 1522,maschi,si,2017,11
lombardia,Utenti del 1522,maschi,si,2018,18
lombardia,Utenti del 1522,maschi,si,2019,4
lombardia,Utenti del 1522,maschi,si,2020,20
lombardia,Utenti del 1522,maschi,si,2021,29
lombardia,Utenti del 1522,maschi,si,2022,20
lombardia,Utenti del 1522,maschi,si,2023,50
lombardia,Utenti del 1522,maschi,si,2024,22
lombardia,Utenti del 1522,maschi,non indicato,2015,33
lombardia,Utenti del 1522,maschi,non indicato,2016,28
lombardia,Utenti del 1522,maschi,non indicato,2017,31
lombardia,Utenti del 1522,maschi,non indicato,2018,11
lombardia,Utenti del 1522,maschi,non indicato,2019,10
lombardia,Utenti del 1522,maschi,non indicato,2020,45
lombardia,Utenti del 1522,maschi,non indicato,2021,115
lombardia,Utenti del 1522,maschi,non indicato,2022,187
lombardia,Utenti del 1522,maschi,non indicato,2023,448
