territorio,indicatore,sesso,presenza_disabilità,periodo,numero_vittime
friuli venezia giulia,Utenti del 1522,maschi,si,2019,3
friuli venezia giulia,Utenti del 1522,maschi,si,2021,1
friuli venezia giulia,Utenti del 1522,maschi,si,2022,3
friuli venezia giulia,Utenti del 1522,maschi,si,2023,8
friuli venezia giulia,Utenti del 1522,maschi,non indicato,2015,2
friuli venezia giulia,Utenti del 1522,maschi,non indicato,2016,2
friuli venezia giulia,Utenti del 1522,maschi,non indicato,2017,1
friuli venezia giulia,Utenti del 1522,maschi,non indicato,2020,2
friuli venezia giulia,Utenti del 1522,maschi,non indicato,2021,11
friuli venezia giulia,Utenti del 1522,maschi,non indicato,2022,12
friuli venezia giulia,Utenti del 1522,maschi,non indicato,2023,67
friuli venezia giulia,Utenti del 1522,maschi,non indicato,2024,87
friuli venezia giulia,Utenti del 1522,femmine,no,2015,212
friuli venezia giulia,Utenti del 1522,femmine,no,2016,191
friuli venezia giulia,Utenti del 1522,femmine,no,2017,176
friuli venezia giulia,Utenti del 1522,femmine,no,2018,281
friuli venezia giulia,Utenti del 1522,femmine,no,2019,244
friuli venezia giulia,Utenti del 1522,femmine,no,2020,244
friuli venezia giulia,Utenti del 1522,femmine,no,2021,174
friuli venezia giulia,Utenti del 1522,femmine,no,2022,164
friuli venezia giulia,Utenti del 1522,femmine,no,2023,90
friuli venezia giulia,Utenti del 1522,femmine,no,2024,222
friuli venezia giulia,Utenti del 1522,femmine,si,2015,8
friuli venezia giulia,Utenti del 1522,femmine,si,2016,11
friuli venezia giulia,Utenti del 1522,femmine,si,2017,2
friuli venezia giulia,Utenti del 1522,femmine,si,2018,5
friuli venezia giulia,Utenti del 1522,femmine,si,2019,10
friuli venezia giulia,Utenti del 1522,femmine,si,2020,19
friuli venezia giulia,Utenti del 1522,femmine,si,2021,46
friuli venezia giulia,Utenti del 1522,femmine,si,2022,14
friuli venezia giulia,Utenti del 1522,femmine,si,2023,70
friuli venezia giulia,Utenti del 1522,femmine,si,2024,23
friuli venezia giulia,Utenti del 1522,femmine,non indicato,2015,20
friuli venezia giulia,Utenti del 1522,femmine,non indicato,2016,22
friuli venezia giulia,Utenti del 1522,femmine,non indicato,2017,12
friuli venezia giulia,Utenti del 1522,femmine,non indicato,2018,5
friuli venezia giulia,Utenti del 1522,femmine,non indicato,2019,2
friuli venezia giulia,Utenti del 1522,femmine,non indicato,2020,53
friuli venezia giulia,Utenti del 1522,femmine,non indicato,2021,98
friuli venezia giulia,Utenti del 1522,femmine,non indicato,2022,120
friuli venezia giulia,Utenti del 1522,femmine,non indicato,2023,278
friuli venezia giulia,Utenti del 1522,femmine,non indicato,2024,364
friuli venezia giulia,Utenti del 1522,non indicato,non indicato,2024,1
emilia romagna,Utenti del 1522,maschi,no,2015,93
emilia romagna,Utenti del 1522,maschi,no,2016,73
emilia romagna,Utenti del 1522,maschi,no,2017,68
emilia romagna,Utenti del 1522,maschi,no,2018,96
emilia romagna,Utenti del 1522,maschi,no,2019,114
emilia romagna,Utenti del 1522,maschi,no,2020,120
emilia romagna,Utenti del 1522,maschi,no,2021,86
emilia romagna,Utenti del 1522,maschi,no,2022,62
emilia romagna,Utenti del 1522,maschi,no,2023,32
emilia romagna,Utenti del 1522,maschi,no,2024,42
emilia romagna,Utenti del 1522,maschi,si,2015,4
emilia romagna,Utenti del 1522,maschi,si,2016,2
emilia romagna,Utenti del 1522,maschi,si,2017,4
emilia romagna,Utenti del 1522,maschi,si,2018,9
emilia romagna,Utenti del 1522,maschi,si,2019,3
emilia romagna,Utenti del 1522,maschi,si,2020,11
emilia romagna,Utenti del 1522,maschi,si,2021,19
emilia romagna,Utenti del 1522,maschi,si,2022,9
emilia romagna,Utenti del 1522,maschi,si,2023,21
emilia romagna,Utenti del 1522,maschi,si,2024,6
emilia romagna,Utenti del 1522,maschi,non indicato,2015,5
emilia romagna,Utenti del 1522,maschi,non indicato,2016,12
emilia romagna,Utenti del 1522,maschi,non indicato,2017,7
emilia romagna,Utenti del 1522,maschi,non indicato,2018,4
emilia romagna,Utenti del 1522,maschi,non indicato,2019,3
emilia romagna,Utenti del 1522,maschi,non indicato,2020,20
emilia romagna,Utenti del 1522,maschi,non indicato,2021,60
emilia romagna,Utenti del 1522,maschi,non indicato,2022,63
emilia romagna,Utenti del 1522,maschi,non indicato,2023,185
emilia romagna,Utenti del 1522,maschi,non indicato,2024,289
emilia romagna,Utenti del 1522,femmine,no,2015,756
emilia romagna,Utenti del 1522,femmine,no,2016,694
emilia romagna,Utenti del 1522,femmine,no,2017,617
emilia romagna,Utenti del 1522,femmine,no,2018,961
emilia romagna,Utenti del 1522,femmine,no,2019,970
emilia romagna,Utenti del 1522,femmine,no,2020,1169
emilia romagna,Utenti del 1522,femmine,no,2021,897
emilia romagna,Utenti del 1522,femmine,no,2022,841
emilia romagna,Utenti del 1522,femmine,no,2023,476
emilia romagna,Utenti del 1522,femmine,no,2024,1024
emilia romagna,Utenti del 1522,femmine,si,2015,16
emilia romagna,Utenti del 1522,femmine,si,2016,24
emilia romagna,Utenti del 1522,femmine,si,2017,15
emilia romagna,Utenti del 1522,femmine,si,2018,14
emilia romagna,Utenti del 1522,femmine,si,2019,20
emilia romagna,Utenti del 1522,femmine,si,2020,70
emilia romagna,Utenti del 1522,femmine,si,2021,122
emilia romagna,Utenti del 1522,femmine,si,2022,59
emilia romagna,Utenti del 1522,femmine,si,2023,347
emilia romagna,Utenti del 1522,femmine,si,2024,125
emilia romagna,Utenti del 1522,femmine,non indicato,2015,92
emilia romagna,Utenti del 1522,femmine,non indicato,2016,76
emilia romagna,Utenti del 1522,femmine,non indicato,2017,51
emilia romagna,Utenti del 1522,femmine,non indicato,2018,17
emilia romagna,Utenti del 1522,femmine,non indicato,2019,15
emilia romagna,Utenti del 1522,femmine,non indicato,2020,216
emilia romagna,Utenti del 1522,femmine,non indicato,2021,483
emilia romagna,Utenti del 1522,femmine,non indicato,2022,554
emilia romagna,Utenti del 1522,femmine,non indicato,2023,2001
emilia romagna,Utenti del 1522,femmine,non indicato,2024,2177
emilia romagna,Utenti del 1522,non indicato,no,2024,3
emilia romagna,Utenti del 1522,non indicato,si,2023,1
emilia romagna,Utenti del 1522,non indicato,non indicato,2023,16
emilia romagna,Utenti del 1522,non indicato,non indicato,2024,8
centro,Utenti del 1522,maschi,no,2015,324
centro,Utenti del 1522,maschi,no,2016,270
centro,Utenti del 1522,maschi,no,2017,336
centro,Utenti del 1522,maschi,no,2018,425
centro,Utenti del 1522,maschi,no,2019,449
centro,Utenti del 1522,maschi,no,2020,532
centro,Utenti del 1522,maschi,no,2021,303
centro,Utenti del 1522,maschi,no,2022,306
centro,Utenti del 1522,maschi,no,2023,81
centro,Utenti del 1522,maschi,no,2024,143
centro,Utenti del 1522,maschi,si,2015,20
centro,Utenti del 1522,maschi,si,2016,20
centro,Utenti del 1522,maschi,si,2017,21
centro,Utenti del 1522,maschi,si,2018,20
centro,Utenti del 1522,maschi,si,2019,10
centro,Utenti del 1522,maschi,si,2020,30
centro,Utenti del 1522,maschi,si,2021,48
centro,Utenti del 1522,maschi,si,2022,33
centro,Utenti del 1522,maschi,si,2023,87
centro,Utenti del 1522,maschi,si,2024,33
centro,Utenti del 1522,maschi,non indicato,2015,55
centro,Utenti del 1522,maschi,non indicato,2016,36
centro,Utenti del 1522,maschi,non indicato,2017,25
centro,Utenti del 1522,maschi,non indicato,2018,9
centro,Utenti del 1522,maschi,non indicato,2019,19
centro,Utenti del 1522,maschi,non indicato,2020,87
centro,Utenti del 1522,maschi,non indicato,2021,223
centro,Utenti del 1522,maschi,non indicato,2022,261
centro,Utenti del 1522,maschi,non indicato,2023,759
centro,Utenti del 1522,maschi,non indicato,2024,1005
centro,Utenti del 1522,femmine,no,2015,3154
centro,Utenti del 1522,femmine,no,2016,2904
centro,Utenti del 1522,femmine,no,2017,2833
centro,Utenti del 1522,femmine,no,2018,4292
centro,Utenti del 1522,femmine,no,2019,4175
centro,Utenti del 1522,femmine,no,2020,4342
centro,Utenti del 1522,femmine,no,2021,3435
centro,Utenti del 1522,femmine,no,2022,3075
centro,Utenti del 1522,femmine,no,2023,1761
centro,Utenti del 1522,femmine,no,2024,3001
centro,Utenti del 1522,femmine,si,2015,83
centro,Utenti del 1522,femmine,si,2016,107
centro,Utenti del 1522,femmine,si,2017,96
centro,Utenti del 1522,femmine,si,2018,99
centro,Utenti del 1522,femmine,si,2019,95
centro,Utenti del 1522,femmine,si,2020,273
centro,Utenti del 1522,femmine,si,2021,555
centro,Utenti del 1522,femmine,si,2022,232
centro,Utenti del 1522,femmine,si,2023,1205
centro,Utenti del 1522,femmine,si,2024,373
centro,Utenti del 1522,femmine,non indicato,2015,413
centro,Utenti del 1522,femmine,non indicato,2016,301
centro,Utenti del 1522,femmine,non indicato,2017,210
centro,Utenti del 1522,femmine,non indicato,2018,65
centro,Utenti del 1522,femmine,non indicato,2019,72
centro,Utenti del 1522,femmine,non indicato,2020,842
centro,Utenti del 1522,femmine,non indicato,2021,1893
centro,Utenti del 1522,femmine,non indicato,2022,1979
centro,Utenti del 1522,femmine,non indicato,2023,4502
centro,Utenti del 1522,femmine,non indicato,2024,5827
centro,Utenti del 1522,non indicato,no,2023,3
centro,Utenti del 1522,non indicato,si,2023,3
centro,Utenti del 1522,non indicato,si,2024,1
centro,Utenti del 1522,non indicato,non indicato,2023,44
centro,Utenti del 1522,non indicato,non indicato,2024,25
toscana,Utenti del 1522,maschi,no,2015,57
toscana,Utenti del 1522,maschi,no,2016,76
toscana,Utenti del 1522,maschi,no,2017,95
toscana,Utenti del 1522,maschi,no,2018,107
toscana,Utenti del 1522,maschi,no,2019,108
toscana,Utenti del 1522,maschi,no,2020,166
toscana,Utenti del 1522,maschi,no,2021,85
toscana,Utenti del 1522,maschi,no,2022,88
toscana,Utenti del 1522,maschi,no,2023,22
toscana,Utenti del 1522,maschi,no,2024,43
toscana,Utenti del 1522,maschi,si,2015,6
toscana,Utenti del 1522,maschi,si,2016,5
toscana,Utenti del 1522,maschi,si,2017,6
toscana,Utenti del 1522,maschi,si,2018,2
toscana,Utenti del 1522,maschi,si,2020,10
toscana,Utenti del 1522,maschi,si,2021,11
toscana,Utenti del 1522,maschi,si,2022,4
toscana,Utenti del 1522,maschi,si,2023,17
toscana,Utenti del 1522,maschi,si,2024,5
toscana,Utenti del 1522,maschi,non indicato,2015,16
toscana,Utenti del 1522,maschi,non indicato,2016,9
toscana,Utenti del 1522,maschi,non indicato,2017,9
toscana,Utenti del 1522,maschi,non indicato,2018,3
toscana,Utenti del 1522,maschi,non indicato,2019,4
toscana,Utenti del 1522,maschi,non indicato,2020,17
toscana,Utenti del 1522,maschi,non indicato,2021,61
toscana,Utenti del 1522,maschi,non indicato,2022,62
toscana,Utenti del 1522,maschi,non indicato,2023,208
toscana,Utenti del 1522,maschi,non indicato,2024,269
toscana,Utenti del 1522,femmine,no,2015,698
toscana,Utenti del 1522,femmine,no,2016,543
toscana,Utenti del 1522,femmine,no,2017,750
toscana,Utenti del 1522,femmine,no,2018,1128
toscana,Utenti del 1522,femmine,no,2019,1166
toscana,Utenti del 1522,femmine,no,2020,1119
toscana,Utenti del 1522,femmine,no,2021,862
toscana,Utenti del 1522,femmine,no,2022,758
toscana,Utenti del 1522,femmine,no,2023,434
toscana,Utenti del 1522,femmine,no,2024,853
toscana,Utenti del 1522,femmine,si,2015,17
toscana,Utenti del 1522,femmine,si,2016,22
toscana,Utenti del 1522,femmine,si,2017,27
toscana,Utenti del 1522,femmine,si,2018,21
toscana,Utenti del 1522,femmine,si,2019,21
toscana,Utenti del 1522,femmine,si,2020,58
toscana,Utenti del 1522,femmine,si,2021,120
toscana,Utenti del 1522,femmine,si,2022,55
toscana,Utenti del 1522,femmine,si,2023,267
toscana,Utenti del 1522,femmine,si,2024,91
toscana,Utenti del 1522,femmine,non indicato,2015,89
toscana,Utenti del 1522,femmine,non indicato,2016,65
toscana,Utenti del 1522,femmine,non indicato,2017,63
toscana,Utenti del 1522,femmine,non indicato,2018,13
toscana,Utenti del 1522,femmine,non indicato,2019,23
toscana,Utenti del 1522,femmine,non indicato,2020,206
toscana,Utenti del 1522,femmine,non indicato,2021,448
toscana,Utenti del 1522,femmine,non indicato,2022,490
toscana,Utenti del 1522,femmine,non indicato,2023,994
toscana,Utenti del 1522,femmine,non indicato,2024,1440
toscana,Utenti del 1522,non indicato,si,2023,2
toscana,Utenti del 1522,non indicato,non indicato,2023,9
toscana,Utenti del 1522,non indicato,non indicato,2024,7
umbria,Utenti del 1522,maschi,no,2015,19
umbria,Utenti del 1522,maschi,no,2016,17
umbria,Utenti del 1522,maschi,no,2017,20
umbria,Utenti del 1522,maschi,no,2018,20
umbria,Utenti del 1522,maschi,no,2019,18
umbria,Utenti del 1522,maschi,no,2020,17
umbria,Utenti del 1522,maschi,no,2021,14
umbria,Utenti del 1522,maschi,no,2022,10
umbria,Utenti del 1522,maschi,no,2023,3
umbria,Utenti del 1522,maschi,no,2024,10
umbria,Utenti del 1522,maschi,si,2015,1
umbria,Utenti del 1522,maschi,si,2016,1
umbria,Utenti del 1522,maschi,si,2018,1
umbria,Utenti del 1522,maschi,si,2020,1
umbria,Utenti del 1522,maschi,si,2021,1
umbria,Utenti del 1522,maschi,si,2022,2
umbria,Utenti del 1522,maschi,si,2023,5
umbria,Utenti del 1522,maschi,si,2024,2
umbria,Utenti del 1522,maschi,non indicato,2016,2
umbria,Utenti del 1522,maschi,non indicato,2017,1
umbria,Utenti del 1522,maschi,non indicato,2019,1
umbria,Utenti del 1522,maschi,non indicato,2020,3
umbria,Utenti del 1522,maschi,non indicato,2021,6
umbria,Utenti del 1522,maschi,non indicato,2022,12
umbria,Utenti del 1522,maschi,non indicato,2023,33
umbria,Utenti del 1522,maschi,non indicato,2024,50
umbria,Utenti del 1522,femmine,no,2015,184
umbria,Utenti del 1522,femmine,no,2016,173
umbria,Utenti del 1522,femmine,no,2017,154
umbria,Utenti del 1522,femmine,no,2018,232
umbria,Utenti del 1522,femmine,no,2019,208
umbria,Utenti del 1522,femmine,no,2020,190
umbria,Utenti del 1522,femmine,no,2021,174
umbria,Utenti del 1522,femmine,no,2022,192
umbria,Utenti del 1522,femmine,no,2023,113
umbria,Utenti del 1522,femmine,no,2024,176
umbria,Utenti del 1522,femmine,si,2015,4
umbria,Utenti del 1522,femmine,si,2016,5
umbria,Utenti del 1522,femmine,si,2017,11
umbria,Utenti del 1522,femmine,si,2018,5
umbria,Utenti del 1522,femmine,si,2019,9
umbria,Utenti del 1522,femmine,si,2020,15
umbria,Utenti del 1522,femmine,si,2021,24
umbria,Utenti del 1522,femmine,si,2022,9
umbria,Utenti del 1522,femmine,si,2023,78
umbria,Utenti del 1522,femmine,si,2024,22
umbria,Utenti del 1522,femmine,non indicato,2015,29
umbria,Utenti del 1522,femmine,non indicato,2016,22
umbria,Utenti del 1522,femmine,non indicato,2017,10
umbria,Utenti del 1522,femmine,non indicato,2018,4
umbria,Utenti del 1522,femmine,non indicato,2019,4
umbria,Utenti del 1522,femmine,non indicato,2020,32
umbria,Utenti del 1522,femmine,non indicato,2021,91
umbria,Utenti del 1522,femmine,non indicato,2022,110
umbria,Utenti del 1522,femmine,non indicato,2023,273
umbria,Utenti del 1522,femmine,non indicato,2024,312
umbria,Utenti del 1522,non indicato,non indicato,2023,3
umbria,Utenti del 1522,non indicato,non indicato,2024,1
marche,Utenti del 1522,maschi,no,2015,42
marche,Utenti del 1522,maschi,no,2016,29
marche,Utenti del 1522,maschi,no,2017,24
marche,Utenti del 1522,maschi,no,2018,45
marche,Utenti del 1522,maschi,no,2019,39
marche,Utenti del 1522,maschi,no,2020,58
marche,Utenti del 1522,maschi,no,2021,34
marche,Utenti del 1522,maschi,no,2022,30
marche,Utenti del 1522,maschi,no,2023,5
marche,Utenti del 1522,maschi,no,2024,19
marche,Utenti del 1522,maschi,si,2015,4
marche,Utenti del 1522,maschi,si,2016,3
marche,Utenti del 1522,maschi,si,2017,1
marche,Utenti del 1522,maschi,si,2018,2
marche,Utenti del 1522,maschi,si,2020,1
marche,Utenti del 1522,maschi,si,2021,3
marche,Utenti del 1522,maschi,si,2022,1
marche,Utenti del 1522,maschi,si,2023,8
marche,Utenti del 1522,maschi,si,2024,3
marche,Utenti del 1522,maschi,non indicato,2015,8
marche,Utenti del 1522,maschi,non indicato,2016,4
marche,Utenti del 1522,maschi,non indicato,2017,1
marche,Utenti del 1522,maschi,non indicato,2018,1
marche,Utenti del 1522,maschi,non indicato,2019,5
marche,Utenti del 1522,maschi,non indicato,2020,7
marche,Utenti del 1522,maschi,non indicato,2021,25
marche,Utenti del 1522,maschi,non indicato,2022,34
marche,Utenti del 1522,maschi,non indicato,2023,70
marche,Utenti del 1522,maschi,non indicato,2024,92
marche,Utenti del 1522,femmine,no,2015,388
marche,Utenti del 1522,femmine,no,2016,359
marche,Utenti del 1522,femmine,no,2017,320
marche,Utenti del 1522,femmine,no,2018,436
marche,Utenti del 1522,femmine,no,2019,372
marche,Utenti del 1522,femmine,no,2020,417
marche,Utenti del 1522,femmine,no,2021,344
marche,Utenti del 1522,femmine,no,2022,299
marche,Utenti del 1522,femmine,no,2023,158
marche,Utenti del 1522,femmine,no,2024,312
marche,Utenti del 1522,femmine,si,2015,9
marche,Utenti del 1522,femmine,si,2016,14
marche,Utenti del 1522,femmine,si,2017,7
marche,Utenti del 1522,femmine,si,2018,11
marche,Utenti del 1522,femmine,si,2019,8
marche,Utenti del 1522,femmine,si,2020,29
marche,Utenti del 1522,femmine,si,2021,60
marche,Utenti del 1522,femmine,si,2022,22
marche,Utenti del 1522,femmine,si,2023,103
marche,Utenti del 1522,femmine,si,2024,23
marche,Utenti del 1522,femmine,non indicato,2015,47
marche,Utenti del 1522,femmine,non indicato,2016,34
marche,Utenti del 1522,femmine,non indicato,2017,30
marche,Utenti del 1522,femmine,non indicato,2018,8
marche,Utenti del 1522,femmine,non indicato,2019,6
marche,Utenti del 1522,femmine,non indicato,2020,65
marche,Utenti del 1522,femmine,non indicato,2021,183
marche,Utenti del 1522,femmine,non indicato,2022,186
marche,Utenti del 1522,femmine,non indicato,2023,395
marche,Utenti del 1522,femmine,non indicato,2024,504
marche,Utenti del 1522,non indicato,non indicato,2023,3
marche,Utenti del 1522,non indicato,non indicato,2024,2
lazio,Utenti del 1522,maschi,no,2015,206
lazio,Utenti del 1522,maschi,no,2016,148
lazio,Utenti del 1522,maschi,no,2017,197
lazio,Utenti del 1522,maschi,no,2018,253
lazio,Utenti del 1522,maschi,no,2019,284
lazio,Utenti del 1522,maschi,no,2020,291
lazio,Utenti del 1522,maschi,no,2021,170
lazio,Utenti del 1522,maschi,no,2022,178
lazio,Utenti del 1522,maschi,no,2023,51
lazio,Utenti del 1522,maschi,no,2024,71
lazio,Utenti del 1522,maschi,si,2015,9
lazio,Utenti del 1522,maschi,si,2016,11
lazio,Utenti del 1522,maschi,si,2017,14
lazio,Utenti del 1522,maschi,si,2018,15
lazio,Utenti del 1522,maschi,si,2019,10
lazio,Utenti del 1522,maschi,si,2020,18
lazio,Utenti del 1522,maschi,si,2021,33
lazio,Utenti del 1522,maschi,si,2022,26
lazio,Utenti del 1522,maschi,si,2023,57
lazio,Utenti del 1522,maschi,si,2024,23
lazio,Utenti del 1522,maschi,non indicato,2015,31
lazio,Utenti del 1522,maschi,non indicato,2016,21
lazio,Utenti del 1522,maschi,non indicato,2017,14
lazio,Utenti del 1522,maschi,non indicato,2018,5
lazio,Utenti del 1522,maschi,non indicato,2019,9
lazio,Utenti del 1522,maschi,non indicato,2020,60
lazio,Utenti del 1522,maschi,non indicato,2021,131
lazio,Utenti del 1522,maschi,non indicato,2022,153
lazio,Utenti del 1522,maschi,non indicato,2023,448
lazio,Utenti del 1522,maschi,non indicato,2024,594
lazio,Utenti del 1522,femmine,no,2015,1884
lazio,Utenti del 1522,femmine,no,2016,1829
lazio,Utenti del 1522,femmine,no,2017,1609
lazio,Utenti del 1522,femmine,no,2018,2496
lazio,Utenti del 1522,femmine,no,2019,2429
lazio,Utenti del 1522,femmine,no,2020,2616
lazio,Utenti del 1522,femmine,no,2021,2055
lazio,Utenti del 1522,femmine,no,2022,1826
lazio,Utenti del 1522,femmine,no,2023,1056
lazio,Utenti del 1522,femmine,no,2024,1660
lazio,Utenti del 1522,femmine,si,2015,53
lazio,Utenti del 1522,femmine,si,2016,66
lazio,Utenti del 1522,femmine,si,2017,51
lazio,Utenti del 1522,femmine,si,2018,62
lazio,Utenti del 1522,femmine,si,2019,57
lazio,Utenti del 1522,femmine,si,2020,171
lazio,Utenti del 1522,femmine,si,2021,351
lazio,Utenti del 1522,femmine,si,2022,146
lazio,Utenti del 1522,femmine,si,2023,757
lazio,Utenti del 1522,femmine,si,2024,237
lazio,Utenti del 1522,femmine,non indicato,2015,248
lazio,Utenti del 1522,femmine,non indicato,2016,180
lazio,Utenti del 1522,femmine,non indicato,2017,107
lazio,Utenti del 1522,femmine,non indicato,2018,40
lazio,Utenti del 1522,femmine,non indicato,2019,39
lazio,Utenti del 1522,femmine,non indicato,2020,539
lazio,Utenti del 1522,femmine,non indicato,2021,1171
lazio,Utenti del 1522,femmine,non indicato,2022,1193
lazio,Utenti del 1522,femmine,non indicato,2023,2840
lazio,Utenti del 1522,femmine,non indicato,2024,3571
lazio,Utenti del 1522,non indicato,no,2023,3
lazio,Utenti del 1522,non indicato,si,2023,1
lazio,Utenti del 1522,non indicato,si,2024,1
lazio,Utenti del 1522,non indicato,non indicato,2023,29
lazio,Utenti del 1522,non indicato,non indicato,2024,15
sud,Utenti del 1522,maschi,no,2015,475
sud,Utenti del 1522,maschi,no,2016,283
sud,Utenti del 1522,maschi,no,2017,356
sud,Utenti del 1522,maschi,no,2018,511
sud,Utenti del 1522,maschi,no,2019,484
sud,Utenti del 1522,maschi,no,2020,450
sud,Utenti del 1522,maschi,no,2021,271
sud,Utenti del 1522,maschi,no,2022,263
sud,Utenti del 1522,maschi,no,2023,66
sud,Utenti del 1522,maschi,no,2024,108
sud,Utenti del 1522,maschi,si,2015,27
sud,Utenti del 1522,maschi,si,2016,18
sud,Utenti del 1522,maschi,si,2017,22
sud,Utenti del 1522,maschi,si,2018,16
sud,Utenti del 1522,maschi,si,2019,15
sud,Utenti del 1522,maschi,si,2020,38
sud,Utenti del 1522,maschi,si,2021,52
sud,Utenti del 1522,maschi,si,2022,23
sud,Utenti del 1522,maschi,si,2023,68
sud,Utenti del 1522,maschi,si,2024,24
sud,Utenti del 1522,maschi,non indicato,2015,60
sud,Utenti del 1522,maschi,non indicato,2016,43
sud,Utenti del 1522,maschi,non indicato,2017,30
sud,Utenti del 1522,maschi,non indicato,2018,20
sud,Utenti del 1522,maschi,non indicato,2019,15
sud,Utenti del 1522,maschi,non indicato,2020,76
sud,Utenti del 1522,maschi,non indicato,2021,228
sud,Utenti del 1522,maschi,non indicato,2022,282
sud,Utenti del 1522,maschi,non indicato,2023,715
sud,Utenti del 1522,maschi,non indicato,2024,937
sud,Utenti del 1522,femmine,no,2015,3504
sud,Utenti del 1522,femmine,no,2016,3053
sud,Utenti del 1522,femmine,no,2017,2802
sud,Utenti del 1522,femmine,no,2018,4208
sud,Utenti del 1522,femmine,no,2019,3788
sud,Utenti del 1522,femmine,no,2020,4015
sud,Utenti del 1522,femmine,no,2021,3045
sud,Utenti del 1522,femmine,no,2022,2646
sud,Utenti del 1522,femmine,no,2023,1348
sud,Utenti del 1522,femmine,no,2024,2374
sud,Utenti del 1522,femmine,si,2015,77
sud,Utenti del 1522,femmine,si,2016,87
sud,Utenti del 1522,femmine,si,2017,57
sud,Utenti del 1522,femmine,si,2018,65
sud,Utenti del 1522,femmine,si,2019,96
sud,Utenti del 1522,femmine,si,2020,297
sud,Utenti del 1522,femmine,si,2021,572
sud,Utenti del 1522,femmine,si,2022,311
sud,Utenti del 1522,femmine,si,2023,945
sud,Utenti del 1522,femmine,si,2024,318
sud,Utenti del 1522,femmine,non indicato,2015,483
sud,Utenti del 1522,femmine,non indicato,2016,335
sud,Utenti del 1522,femmine,non indicato,2017,218
sud,Utenti del 1522,femmine,non indicato,2018,74
sud,Utenti del 1522,femmine,non indicato,2019,62
sud,Utenti del 1522,femmine,non indicato,2020,826
sud,Utenti del 1522,femmine,non indicato,2021,1808
sud,Utenti del 1522,femmine,non indicato,2022,1839
sud,Utenti del 1522,femmine,non indicato,2023,3478
sud,Utenti del 1522,femmine,non indicato,2024,4781
sud,Utenti del 1522,non indicato,no,2024,2
sud,Utenti del 1522,non indicato,si,2023,4
sud,Utenti del 1522,non indicato,non indicato,2023,33
sud,Utenti del 1522,non indicato,non indicato,2024,22
abruzzo,Utenti del 1522,maschi,no,2015,43
abruzzo,Utenti del 1522,maschi,no,2016,32
abruzzo,Utenti del 1522,maschi,no,2017,22
abruzzo,Utenti del 1522,maschi,no,2018,55
abruzzo,Utenti del 1522,maschi,no,2019,39
abruzzo,Utenti del 1522,maschi,no,2020,43
abruzzo,Utenti del 1522,maschi,no,2021,29
abruzzo,Utenti del 1522,maschi,no,2022,24
abruzzo,Utenti del 1522,maschi,no,2023,3
abruzzo,Utenti del 1522,maschi,no,2024,14
abruzzo,Utenti del 1522,maschi,si,2015,4
abruzzo,Utenti del 1522,maschi,si,2017,2
abruzzo,Utenti del 1522,maschi,si,2018,2
abruzzo,Utenti del 1522,maschi,si,2019,1
abruzzo,Utenti del 1522,maschi,si,2020,4
abruzzo,Utenti del 1522,maschi,si,2021,5
abruzzo,Utenti del 1522,maschi,si,2022,1
abruzzo,Utenti del 1522,maschi,si,2023,8
abruzzo,Utenti del 1522,maschi,si,2024,3
abruzzo,Utenti del 1522,maschi,non indicato,2015,5
abruzzo,Utenti del 1522,maschi,non indicato,2016,3
abruzzo,Utenti del 1522,maschi,non indicato,2017,1
abruzzo,Utenti del 1522,maschi,non indicato,2019,1
abruzzo,Utenti del 1522,maschi,non indicato,2020,4
abruzzo,Utenti del 1522,maschi,non indicato,2021,18
abruzzo,Utenti del 1522,maschi,non indicato,2022,26
abruzzo,Utenti del 1522,maschi,non indicato,2023,80
abruzzo,Utenti del 1522,maschi,non indicato,2024,82
abruzzo,Utenti del 1522,femmine,no,2015,393
abruzzo,Utenti del 1522,femmine,no,2016,351
abruzzo,Utenti del 1522,femmine,no,2017,328
abruzzo,Utenti del 1522,femmine,no,2018,474
abruzzo,Utenti del 1522,femmine,no,2019,397
abruzzo,Utenti del 1522,femmine,no,2020,381
abruzzo,Utenti del 1522,femmine,no,2021,310
abruzzo,Utenti del 1522,femmine,no,2022,287
abruzzo,Utenti del 1522,femmine,no,2023,157
abruzzo,Utenti del 1522,femmine,no,2024,211
abruzzo,Utenti del 1522,femmine,si,2015,10
abruzzo,Utenti del 1522,femmine,si,2016,16
abruzzo,Utenti del 1522,femmine,si,2017,9
abruzzo,Utenti del 1522,femmine,si,2018,14
abruzzo,Utenti del 1522,femmine,si,2019,14
abruzzo,Utenti del 1522,femmine,si,2020,34
abruzzo,Utenti del 1522,femmine,si,2021,36
abruzzo,Utenti del 1522,femmine,si,2022,30
abruzzo,Utenti del 1522,femmine,si,2023,107
abruzzo,Utenti del 1522,femmine,si,2024,27
abruzzo,Utenti del 1522,femmine,non indicato,2015,47
abruzzo,Utenti del 1522,femmine,non indicato,2016,41
abruzzo,Utenti del 1522,femmine,non indicato,2017,32
abruzzo,Utenti del 1522,femmine,non indicato,2018,8
abruzzo,Utenti del 1522,femmine,non indicato,2019,8
abruzzo,Utenti del 1522,femmine,non indicato,2020,60
abruzzo,Utenti del 1522,femmine,non indicato,2021,185
abruzzo,Utenti del 1522,femmine,non indicato,2022,159
abruzzo,Utenti del 1522,femmine,non indicato,2023,391
