territorio,sesso,tipo_violenza,periodo,numero_vittime
italia,femmine,violenza economica,2016,147
italia,femmine,violenza economica,2017,143
italia,femmine,violenza economica,2018,122
italia,femmine,violenza economica,2019,113
italia,femmine,violenza economica,2020,180
italia,femmine,violenza economica,2021,147
italia,femmine,violenza economica,2022,125
italia,femmine,violenza economica,2023,94
italia,femmine,violenza economica,2024,125
italia,femmine,atti persecutori/stalking,2023,1090
italia,femmine,atti persecutori/stalking,2024,1513
italia,femmine,violenza digitale,2023,44
italia,femmine,violenza digitale,2024,25
italia,femmine,matrimonio forzato,2023,6
italia,femmine,matrimonio forzato,2024,8
italia,femmine,altro,2023,14
italia,femmine,altro,2024,18
italia,femmine,non risponde,2015,141
italia,femmine,non risponde,2016,96
italia,femmine,non risponde,2017,80
italia,femmine,non risponde,2018,68
italia,femmine,non risponde,2019,47
italia,femmine,non risponde,2020,199
italia,femmine,non risponde,2021,155
italia,femmine,non risponde,2022,153
italia,femmine,non risponde,2023,78
italia,femmine,non risponde,2024,19
italia,femmine,non disponibile,2015,450
italia,femmine,non disponibile,2016,352
italia,femmine,non disponibile,2017,432
italia,femmine,non disponibile,2018,543
italia,femmine,non disponibile,2019,501
italia,femmine,non disponibile,2020,784
italia,femmine,non disponibile,2021,989
italia,femmine,non disponibile,2022,1004
italia,femmine,non disponibile,2023,344
italia,femmine,non disponibile,2024,251
italia,non indicato,violenza fisica,2023,68
italia,non indicato,violenza fisica,2024,42
italia,non indicato,violenza sessuale,2023,3
italia,non indicato,violenza sessuale,2024,1
italia,non indicato,minacce,2023,2
italia,non indicato,diffusione illecita di immagini o di video sessualmente espliciti,2024,1
italia,non indicato,violenza psicologica,2023,14
italia,non indicato,violenza psicologica,2024,9
italia,non indicato,atti persecutori/stalking,2023,8
italia,non indicato,atti persecutori/stalking,2024,5
italia,non indicato,altro,2023,1
italia,non indicato,non risponde,2023,11
italia,non indicato,non risponde,2024,6
italia,non indicato,non disponibile,2015,1
italia,non indicato,non disponibile,2019,2
italia,non indicato,non disponibile,2020,9
italia,non indicato,non disponibile,2021,12
italia,non indicato,non disponibile,2022,15
italia,non indicato,non disponibile,2023,1296
italia,non indicato,non disponibile,2024,1017
nord ovest,maschi,violenza fisica,2015,14
nord ovest,maschi,violenza fisica,2016,22
nord ovest,maschi,violenza fisica,2017,25
nord ovest,maschi,violenza fisica,2018,17
nord ovest,maschi,violenza fisica,2019,18
nord ovest,maschi,violenza fisica,2020,29
nord ovest,maschi,violenza fisica,2021,33
nord ovest,maschi,violenza fisica,2022,14
nord ovest,maschi,violenza fisica,2023,32
nord ovest,maschi,violenza fisica,2024,28
nord ovest,maschi,violenza sessuale,2015,3
nord ovest,maschi,violenza sessuale,2016,5
nord ovest,maschi,violenza sessuale,2017,8
nord ovest,maschi,violenza sessuale,2018,7
nord ovest,maschi,violenza sessuale,2019,7
nord ovest,maschi,violenza sessuale,2020,15
nord ovest,maschi,violenza sessuale,2021,23
nord ovest,maschi,violenza sessuale,2022,4
nord ovest,maschi,violenza sessuale,2023,7
nord ovest,maschi,violenza sessuale,2024,2
nord ovest,maschi,minacce,2015,8
nord ovest,maschi,minacce,2016,6
nord ovest,maschi,minacce,2017,7
nord ovest,maschi,minacce,2018,3
nord ovest,maschi,minacce,2019,2
nord ovest,maschi,minacce,2020,4
nord ovest,maschi,minacce,2021,7
nord ovest,maschi,minacce,2022,3
nord ovest,maschi,minacce,2023,3
nord ovest,maschi,minacce,2024,1
nord ovest,maschi,mobbing,2017,2
nord ovest,maschi,mobbing,2018,1
nord ovest,maschi,mobbing,2021,1
nord ovest,maschi,diffusione illecita di immagini o di video sessualmente espliciti,2023,2
nord ovest,maschi,diffusione illecita di immagini o di video sessualmente espliciti,2024,1
nord ovest,maschi,violenza psicologica,2015,38
nord ovest,maschi,violenza psicologica,2016,27
nord ovest,maschi,violenza psicologica,2017,18
nord ovest,maschi,violenza psicologica,2018,27
nord ovest,maschi,violenza psicologica,2019,22
nord ovest,maschi,violenza psicologica,2020,45
nord ovest,maschi,violenza psicologica,2021,31
nord ovest,maschi,violenza psicologica,2022,14
nord ovest,maschi,violenza psicologica,2023,32
nord ovest,maschi,violenza psicologica,2024,37
nord ovest,maschi,violenza economica,2019,1
nord ovest,maschi,violenza economica,2020,3
nord ovest,maschi,violenza economica,2021,1
nord ovest,maschi,violenza economica,2022,1
nord ovest,maschi,violenza economica,2023,3
nord ovest,maschi,violenza economica,2024,2
nord ovest,maschi,atti persecutori/stalking,2023,14
nord ovest,maschi,atti persecutori/stalking,2024,18
nord ovest,maschi,altro,2023,2
nord ovest,maschi,non risponde,2015,6
nord ovest,maschi,non risponde,2016,4
nord ovest,maschi,non risponde,2017,3
nord ovest,maschi,non risponde,2018,2
nord ovest,maschi,non risponde,2019,2
nord ovest,maschi,non risponde,2020,2
nord ovest,maschi,non risponde,2022,8
nord ovest,maschi,non risponde,2023,1
nord ovest,maschi,non disponibile,2015,3
nord ovest,maschi,non disponibile,2017,8
nord ovest,maschi,non disponibile,2018,4
nord ovest,maschi,non disponibile,2019,4
nord ovest,maschi,non disponibile,2020,4
nord ovest,maschi,non disponibile,2021,7
nord ovest,maschi,non disponibile,2022,7
nord ovest,maschi,non disponibile,2024,1
nord ovest,femmine,violenza fisica,2015,964
nord ovest,femmine,violenza fisica,2016,1080
nord ovest,femmine,violenza fisica,2017,952
nord ovest,femmine,violenza fisica,2018,1045
nord ovest,femmine,violenza fisica,2019,939
nord ovest,femmine,violenza fisica,2020,1741
nord ovest,femmine,violenza fisica,2021,1631
nord ovest,femmine,violenza fisica,2022,1264
nord ovest,femmine,violenza fisica,2023,1506
nord ovest,femmine,violenza fisica,2024,1904
nord ovest,femmine,violenza sessuale,2015,67
nord ovest,femmine,violenza sessuale,2016,89
nord ovest,femmine,violenza sessuale,2017,118
nord ovest,femmine,violenza sessuale,2018,112
nord ovest,femmine,violenza sessuale,2019,134
nord ovest,femmine,violenza sessuale,2020,245
nord ovest,femmine,violenza sessuale,2021,334
nord ovest,femmine,violenza sessuale,2022,231
nord ovest,femmine,violenza sessuale,2023,165
nord ovest,femmine,violenza sessuale,2024,195
nord ovest,femmine,minacce,2015,73
nord ovest,femmine,minacce,2016,84
nord ovest,femmine,minacce,2017,88
nord ovest,femmine,minacce,2018,88
nord ovest,femmine,minacce,2019,77
nord ovest,femmine,minacce,2020,109
nord ovest,femmine,minacce,2021,181
nord ovest,femmine,minacce,2022,160
nord ovest,femmine,minacce,2023,23
nord ovest,femmine,minacce,2024,51
nord ovest,femmine,mobbing,2015,9
nord ovest,femmine,mobbing,2016,9
nord ovest,femmine,mobbing,2017,10
nord ovest,femmine,mobbing,2018,7
nord ovest,femmine,mobbing,2019,4
nord ovest,femmine,mobbing,2020,16
nord ovest,femmine,mobbing,2021,24
nord ovest,femmine,mobbing,2022,11
nord ovest,femmine,mobbing,2023,7
nord ovest,femmine,mobbing,2024,15
nord ovest,femmine,tratta,2021,1
nord ovest,femmine,tratta,2022,1
nord ovest,femmine,tratta,2024,2
nord ovest,femmine,diffusione illecita di immagini o di video sessualmente espliciti,2023,5
nord ovest,femmine,diffusione illecita di immagini o di video sessualmente espliciti,2024,8
nord ovest,femmine,sfruttamento della prostituzione,2024,1
nord ovest,femmine,violenza psicologica,2015,785
nord ovest,femmine,violenza psicologica,2016,846
nord ovest,femmine,violenza psicologica,2017,778
nord ovest,femmine,violenza psicologica,2018,932
nord ovest,femmine,violenza psicologica,2019,887
nord ovest,femmine,violenza psicologica,2020,1310
nord ovest,femmine,violenza psicologica,2021,1223
nord ovest,femmine,violenza psicologica,2022,1005
nord ovest,femmine,violenza psicologica,2023,1317
nord ovest,femmine,violenza psicologica,2024,1630
nord ovest,femmine,violenza economica,2015,43
nord ovest,femmine,violenza economica,2016,38
nord ovest,femmine,violenza economica,2017,40
nord ovest,femmine,violenza economica,2018,32
nord ovest,femmine,violenza economica,2019,37
nord ovest,femmine,violenza economica,2020,47
nord ovest,femmine,violenza economica,2021,33
nord ovest,femmine,violenza economica,2022,27
nord ovest,femmine,violenza economica,2023,19
nord ovest,femmine,violenza economica,2024,35
nord ovest,femmine,atti persecutori/stalking,2023,273
nord ovest,femmine,atti persecutori/stalking,2024,446
nord ovest,femmine,violenza digitale,2023,12
nord ovest,femmine,violenza digitale,2024,4
nord ovest,femmine,matrimonio forzato,2023,1
nord ovest,femmine,matrimonio forzato,2024,2
nord ovest,femmine,altro,2023,2
nord ovest,femmine,altro,2024,4
nord ovest,femmine,non risponde,2015,51
nord ovest,femmine,non risponde,2016,23
nord ovest,femmine,non risponde,2017,17
nord ovest,femmine,non risponde,2018,26
nord ovest,femmine,non risponde,2019,12
nord ovest,femmine,non risponde,2020,26
nord ovest,femmine,non risponde,2021,34
nord ovest,femmine,non risponde,2022,30
nord ovest,femmine,non risponde,2023,13
nord ovest,femmine,non risponde,2024,4
nord ovest,femmine,non disponibile,2015,85
nord ovest,femmine,non disponibile,2016,44
nord ovest,femmine,non disponibile,2017,72
nord ovest,femmine,non disponibile,2018,78
nord ovest,femmine,non disponibile,2019,69
nord ovest,femmine,non disponibile,2020,78
nord ovest,femmine,non disponibile,2021,71
nord ovest,femmine,non disponibile,2022,65
nord ovest,femmine,non disponibile,2023,41
nord ovest,femmine,non disponibile,2024,34
nord ovest,non indicato,violenza fisica,2023,13
nord ovest,non indicato,violenza fisica,2024,10
nord ovest,non indicato,violenza sessuale,2023,1
nord ovest,non indicato,violenza psicologica,2023,4
nord ovest,non indicato,atti persecutori/stalking,2024,1
nord ovest,non indicato,altro,2023,1
nord ovest,non indicato,non risponde,2023,1
nord ovest,non indicato,non disponibile,2023,50
nord ovest,non indicato,non disponibile,2024,39
piemonte,maschi,violenza fisica,2015,6
piemonte,maschi,violenza fisica,2016,11
piemonte,maschi,violenza fisica,2017,11
piemonte,maschi,violenza fisica,2018,2
piemonte,maschi,violenza fisica,2019,7
piemonte,maschi,violenza fisica,2020,9
piemonte,maschi,violenza fisica,2021,13
piemonte,maschi,violenza fisica,2022,4
piemonte,maschi,violenza fisica,2023,7
piemonte,maschi,violenza fisica,2024,5
piemonte,maschi,violenza sessuale,2016,1
piemonte,maschi,violenza sessuale,2017,1
piemonte,maschi,violenza sessuale,2019,1
piemonte,maschi,violenza sessuale,2020,7
piemonte,maschi,violenza sessuale,2021,4
piemonte,maschi,violenza sessuale,2023,1
piemonte,maschi,minacce,2015,3
piemonte,maschi,minacce,2016,1
piemonte,maschi,minacce,2017,2
piemonte,maschi,minacce,2018,2
piemonte,maschi,minacce,2020,1
piemonte,maschi,minacce,2023,1
piemonte,maschi,mobbing,2017,1
piemonte,maschi,diffusione illecita di immagini o di video sessualmente espliciti,2024,1
piemonte,maschi,violenza psicologica,2015,13
piemonte,maschi,violenza psicologica,2016,5
piemonte,maschi,violenza psicologica,2017,6
piemonte,maschi,violenza psicologica,2018,7
piemonte,maschi,violenza psicologica,2019,6
piemonte,maschi,violenza psicologica,2020,6
piemonte,maschi,violenza psicologica,2021,14
piemonte,maschi,violenza psicologica,2022,3
piemonte,maschi,violenza psicologica,2023,8
piemonte,maschi,violenza psicologica,2024,10
piemonte,maschi,violenza economica,2020,1
piemonte,maschi,violenza economica,2023,1
piemonte,maschi,violenza economica,2024,1
piemonte,maschi,atti persecutori/stalking,2023,1
piemonte,maschi,atti persecutori/stalking,2024,9
piemonte,maschi,non risponde,2015,2
piemonte,maschi,non risponde,2016,1
piemonte,maschi,non risponde,2017,1
piemonte,maschi,non risponde,2022,2
piemonte,maschi,non disponibile,2017,6
piemonte,maschi,non disponibile,2018,2
piemonte,maschi,non disponibile,2019,1
piemonte,maschi,non disponibile,2020,2
piemonte,maschi,non disponibile,2021,5
piemonte,maschi,non disponibile,2022,3
piemonte,femmine,violenza fisica,2015,295
piemonte,femmine,violenza fisica,2016,332
piemonte,femmine,violenza fisica,2017,283
piemonte,femmine,violenza fisica,2018,296
piemonte,femmine,violenza fisica,2019,281
piemonte,femmine,violenza fisica,2020,491
piemonte,femmine,violenza fisica,2021,429
piemonte,femmine,violenza fisica,2022,312
piemonte,femmine,violenza fisica,2023,392
piemonte,femmine,violenza fisica,2024,490
piemonte,femmine,violenza sessuale,2015,12
piemonte,femmine,violenza sessuale,2016,23
piemonte,femmine,violenza sessuale,2017,42
piemonte,femmine,violenza sessuale,2018,30
piemonte,femmine,violenza sessuale,2019,33
piemonte,femmine,violenza sessuale,2020,61
piemonte,femmine,violenza sessuale,2021,84
piemonte,femmine,violenza sessuale,2022,54
piemonte,femmine,violenza sessuale,2023,41
piemonte,femmine,violenza sessuale,2024,44
piemonte,femmine,minacce,2015,19
piemonte,femmine,minacce,2016,23
piemonte,femmine,minacce,2017,28
piemonte,femmine,minacce,2018,32
piemonte,femmine,minacce,2019,17
piemonte,femmine,minacce,2020,25
piemonte,femmine,minacce,2021,48
piemonte,femmine,minacce,2022,46
piemonte,femmine,minacce,2023,7
piemonte,femmine,minacce,2024,13
piemonte,femmine,mobbing,2015,3
piemonte,femmine,mobbing,2016,6
piemonte,femmine,mobbing,2017,1
piemonte,femmine,mobbing,2018,4
piemonte,femmine,mobbing,2019,1
piemonte,femmine,mobbing,2020,6
piemonte,femmine,mobbing,2021,12
piemonte,femmine,mobbing,2022,3
piemonte,femmine,mobbing,2023,1
piemonte,femmine,mobbing,2024,5
