sesso,titolo_studio,imput_affermazione,grado_accordo,percentuale
maschi,media_inferiore,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",non_risponde,1.0
maschi,diploma_o_equivalente,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",molto_d_accordo,3.4
maschi,diploma_o_equivalente,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",abbastanza_d_accordo,8.2
maschi,diploma_o_equivalente,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",poco_d_accordo,14.1
maschi,diploma_o_equivalente,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",per_niente_d_accordo,73.8
maschi,diploma_o_equivalente,"In condizioni di scarsità di lavoro, i datori di lavoro dovrebbero dare la precedenza agli uomini rispetto alle donne",non_risponde,0.5
maschi,diploma_o_equivalente,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,molto_d_accordo,7.6
maschi,diploma_o_equivalente,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,abbastanza_d_accordo,16.6
maschi,diploma_o_equivalente,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,poco_d_accordo,19.7
maschi,diploma_o_equivalente,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,per_niente_d_accordo,55.7
maschi,diploma_o_equivalente,È soprattutto l'uomo che deve provvedere alle necessità economiche della famiglia,non_risponde,0.5
maschi,diploma_o_equivalente,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,molto_d_accordo,2.5
maschi,diploma_o_equivalente,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,abbastanza_d_accordo,5.4
maschi,diploma_o_equivalente,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,poco_d_accordo,14.9
maschi,diploma_o_equivalente,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,per_niente_d_accordo,76.6
maschi,diploma_o_equivalente,È l'uomo che deve prendere le decisioni più importanti riguardanti la famiglia,non_risponde,0.4
maschi,diploma_o_equivalente,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,molto_d_accordo,8.0
maschi,diploma_o_equivalente,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,abbastanza_d_accordo,19.1
maschi,diploma_o_equivalente,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,poco_d_accordo,23.8
maschi,diploma_o_equivalente,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,per_niente_d_accordo,48.5
maschi,diploma_o_equivalente,Gli uomini sono meno adatti ad occuparsi delle faccende domestiche,non_risponde,0.6
maschi,diploma_o_equivalente,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",molto_d_accordo,7.0
maschi,diploma_o_equivalente,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",abbastanza_d_accordo,20.3
maschi,diploma_o_equivalente,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",poco_d_accordo,18.3
maschi,diploma_o_equivalente,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",per_niente_d_accordo,53.6
maschi,diploma_o_equivalente,"Per l’uomo, più che per la donna, è molto importante avere successo nel lavoro",non_risponde,0.8
