territorio,sesso,motivo_chiamata,periodo,numero_vittime
piemonte,maschi,richiesta di aiuto vittima di violenza,2020,14
piemonte,maschi,richiesta di aiuto vittima di violenza,2021,25
piemonte,maschi,richiesta di aiuto vittima di violenza,2022,5
piemonte,maschi,richiesta di aiuto vittima di violenza,2023,12
piemonte,maschi,richiesta di aiuto vittima di violenza,2024,12
piemonte,maschi,richiesta di aiuto per discriminazione,2022,1
piemonte,maschi,segnalazione di un caso di violenza,2015,2
piemonte,maschi,segnalazione di un caso di violenza,2016,3
piemonte,maschi,segnalazione di un caso di violenza,2017,3
piemonte,maschi,segnalazione di un caso di violenza,2018,2
piemonte,maschi,segnalazione di un caso di violenza,2019,2
piemonte,maschi,segnalazione di un caso di violenza,2020,5
piemonte,maschi,segnalazione di un caso di violenza,2021,6
piemonte,maschi,segnalazione di un caso di violenza,2022,4
piemonte,maschi,segnalazione di un caso di violenza,2023,4
piemonte,maschi,segnalazione di un caso di violenza,2024,5
piemonte,maschi,emergenza,2017,3
piemonte,maschi,emergenza,2018,1
piemonte,maschi,emergenza,2020,1
piemonte,femmine,richiesta di aiuto vittima di stalking,2015,83
piemonte,femmine,richiesta di aiuto vittima di stalking,2016,58
piemonte,femmine,richiesta di aiuto vittima di stalking,2017,52
piemonte,femmine,richiesta di aiuto vittima di stalking,2018,65
piemonte,femmine,richiesta di aiuto vittima di stalking,2019,48
piemonte,femmine,richiesta di aiuto vittima di stalking,2020,77
piemonte,femmine,richiesta di aiuto vittima di stalking,2021,74
piemonte,femmine,richiesta di aiuto vittima di stalking,2022,71
piemonte,femmine,richiesta di aiuto vittima di stalking,2023,79
piemonte,femmine,richiesta di aiuto vittima di stalking,2024,120
piemonte,femmine,richiesta di aiuto vittima di violenza,2015,418
piemonte,femmine,richiesta di aiuto vittima di violenza,2016,482
piemonte,femmine,richiesta di aiuto vittima di violenza,2017,427
piemonte,femmine,richiesta di aiuto vittima di violenza,2018,521
piemonte,femmine,richiesta di aiuto vittima di violenza,2019,493
piemonte,femmine,richiesta di aiuto vittima di violenza,2020,735
piemonte,femmine,richiesta di aiuto vittima di violenza,2021,725
piemonte,femmine,richiesta di aiuto vittima di violenza,2022,587
piemonte,femmine,richiesta di aiuto vittima di violenza,2023,697
piemonte,femmine,richiesta di aiuto vittima di violenza,2024,817
piemonte,femmine,richiesta di aiuto per discriminazione,2021,2
piemonte,femmine,segnalazione di un caso di violenza,2015,128
piemonte,femmine,segnalazione di un caso di violenza,2016,143
piemonte,femmine,segnalazione di un caso di violenza,2017,134
piemonte,femmine,segnalazione di un caso di violenza,2018,109
piemonte,femmine,segnalazione di un caso di violenza,2019,85
piemonte,femmine,segnalazione di un caso di violenza,2020,162
piemonte,femmine,segnalazione di un caso di violenza,2021,149
piemonte,femmine,segnalazione di un caso di violenza,2022,89
piemonte,femmine,segnalazione di un caso di violenza,2023,135
piemonte,femmine,segnalazione di un caso di violenza,2024,139
piemonte,femmine,emergenza,2015,16
piemonte,femmine,emergenza,2016,1
piemonte,femmine,emergenza,2017,10
piemonte,femmine,emergenza,2018,14
piemonte,femmine,emergenza,2019,6
piemonte,femmine,emergenza,2020,11
piemonte,femmine,emergenza,2021,2
piemonte,non indicato,richiesta di aiuto vittima di stalking,2023,2
piemonte,non indicato,richiesta di aiuto vittima di stalking,2024,1
piemonte,non indicato,richiesta di aiuto vittima di violenza,2023,9
piemonte,non indicato,richiesta di aiuto vittima di violenza,2024,9
piemonte,non indicato,segnalazione di un caso di violenza,2023,4
piemonte,non indicato,emergenza,2023,3
liguria,maschi,richiesta di aiuto vittima di stalking,2015,5
liguria,maschi,richiesta di aiuto vittima di stalking,2016,3
liguria,maschi,richiesta di aiuto vittima di stalking,2017,3
liguria,maschi,richiesta di aiuto vittima di stalking,2018,2
liguria,maschi,richiesta di aiuto vittima di stalking,2020,2
liguria,maschi,richiesta di aiuto vittima di stalking,2021,3
liguria,maschi,richiesta di aiuto vittima di stalking,2022,1
liguria,maschi,richiesta di aiuto vittima di violenza,2015,2
liguria,maschi,richiesta di aiuto vittima di violenza,2016,2
liguria,maschi,richiesta di aiuto vittima di violenza,2017,1
liguria,maschi,richiesta di aiuto vittima di violenza,2018,3
liguria,maschi,richiesta di aiuto vittima di violenza,2019,3
liguria,maschi,richiesta di aiuto vittima di violenza,2020,13
liguria,maschi,richiesta di aiuto vittima di violenza,2021,5
liguria,maschi,richiesta di aiuto vittima di violenza,2022,2
liguria,maschi,richiesta di aiuto vittima di violenza,2023,4
liguria,maschi,richiesta di aiuto vittima di violenza,2024,7
liguria,maschi,segnalazione di un caso di violenza,2016,1
liguria,maschi,segnalazione di un caso di violenza,2017,1
liguria,maschi,segnalazione di un caso di violenza,2018,1
liguria,maschi,segnalazione di un caso di violenza,2019,1
liguria,maschi,segnalazione di un caso di violenza,2021,1
liguria,maschi,segnalazione di un caso di violenza,2022,1
liguria,maschi,segnalazione di un caso di violenza,2023,4
liguria,maschi,emergenza,2019,1
liguria,femmine,richiesta di aiuto vittima di stalking,2015,21
