territorio,sesso,stato_civile,periodo,numero_vittime
italia,femmine,divorziat,2024,669
italia,femmine,vedov,2015,298
italia,femmine,vedov,2016,278
italia,femmine,vedov,2017,263
italia,femmine,vedov,2018,289
italia,femmine,vedov,2019,237
italia,femmine,vedov,2020,480
italia,femmine,vedov,2021,450
italia,femmine,vedov,2022,326
italia,femmine,vedov,2023,350
italia,femmine,vedov,2024,392
italia,femmine,non indicato,2015,51
italia,femmine,non indicato,2016,73
italia,femmine,non indicato,2017,71
italia,femmine,non indicato,2018,60
italia,femmine,non indicato,2019,38
italia,femmine,non indicato,2020,1062
italia,femmine,non indicato,2021,1308
italia,femmine,non indicato,2022,554
italia,femmine,non indicato,2023,1112
italia,femmine,non indicato,2024,689
italia,femmine,non disponibile,2015,381
italia,femmine,non disponibile,2016,281
italia,femmine,non disponibile,2017,341
italia,femmine,non disponibile,2018,435
italia,femmine,non disponibile,2019,432
italia,femmine,non disponibile,2020,662
italia,femmine,non disponibile,2021,786
italia,femmine,non disponibile,2022,879
italia,non indicato,single,2023,33
italia,non indicato,single,2024,18
italia,non indicato,separat,2023,2
italia,non indicato,separat,2024,4
italia,non indicato,coniugat,2023,28
italia,non indicato,coniugat,2024,15
italia,non indicato,divorziat,2023,2
italia,non indicato,non indicato,2023,46
italia,non indicato,non indicato,2024,30
italia,non indicato,non disponibile,2015,1
italia,non indicato,non disponibile,2019,2
italia,non indicato,non disponibile,2020,9
italia,non indicato,non disponibile,2021,12
italia,non indicato,non disponibile,2022,15
italia,non indicato,non disponibile,2023,1292
italia,non indicato,non disponibile,2024,1014
nord ovest,maschi,single,2015,29
nord ovest,maschi,single,2016,32
nord ovest,maschi,single,2017,26
nord ovest,maschi,single,2018,28
nord ovest,maschi,single,2019,24
nord ovest,maschi,single,2020,42
nord ovest,maschi,single,2021,55
nord ovest,maschi,single,2022,27
nord ovest,maschi,single,2023,56
nord ovest,maschi,single,2024,53
nord ovest,maschi,separat,2015,10
nord ovest,maschi,separat,2016,1
nord ovest,maschi,separat,2017,9
nord ovest,maschi,separat,2018,1
nord ovest,maschi,separat,2019,2
nord ovest,maschi,separat,2020,8
nord ovest,maschi,separat,2021,6
nord ovest,maschi,separat,2023,8
nord ovest,maschi,separat,2024,6
nord ovest,maschi,coniugat,2015,26
nord ovest,maschi,coniugat,2016,29
nord ovest,maschi,coniugat,2017,21
nord ovest,maschi,coniugat,2018,24
nord ovest,maschi,coniugat,2019,22
nord ovest,maschi,coniugat,2020,35
nord ovest,maschi,coniugat,2021,20
nord ovest,maschi,coniugat,2022,15
nord ovest,maschi,coniugat,2023,22
nord ovest,maschi,coniugat,2024,22
nord ovest,maschi,divorziat,2015,1
nord ovest,maschi,divorziat,2017,4
nord ovest,maschi,divorziat,2018,3
nord ovest,maschi,divorziat,2019,3
nord ovest,maschi,divorziat,2020,3
nord ovest,maschi,divorziat,2021,3
nord ovest,maschi,divorziat,2022,1
nord ovest,maschi,divorziat,2023,2
nord ovest,maschi,divorziat,2024,4
nord ovest,maschi,vedov,2015,4
nord ovest,maschi,vedov,2016,1
nord ovest,maschi,vedov,2017,1
nord ovest,maschi,vedov,2018,2
nord ovest,maschi,vedov,2019,2
nord ovest,maschi,vedov,2020,1
nord ovest,maschi,vedov,2021,4
nord ovest,maschi,vedov,2023,1
nord ovest,maschi,vedov,2024,2
nord ovest,maschi,non indicato,2015,1
nord ovest,maschi,non indicato,2016,1
nord ovest,maschi,non indicato,2017,3
nord ovest,maschi,non indicato,2020,9
nord ovest,maschi,non indicato,2021,10
nord ovest,maschi,non indicato,2022,3
nord ovest,maschi,non indicato,2023,7
nord ovest,maschi,non indicato,2024,3
nord ovest,maschi,non disponibile,2015,1
nord ovest,maschi,non disponibile,2017,7
nord ovest,maschi,non disponibile,2018,3
nord ovest,maschi,non disponibile,2019,3
nord ovest,maschi,non disponibile,2020,4
nord ovest,maschi,non disponibile,2021,5
nord ovest,maschi,non disponibile,2022,5
