territorio,sesso,nazionalità_utente,modalità_intervento,periodo,numero_vittime
piemonte,femmine,italia,non trasferito servizio,2016,201
piemonte,femmine,italia,non trasferito servizio,2017,211
piemonte,femmine,italia,non trasferito servizio,2018,381
piemonte,femmine,italia,non trasferito servizio,2019,413
piemonte,femmine,italia,non trasferito servizio,2020,454
piemonte,femmine,italia,non trasferito servizio,2021,476
piemonte,femmine,italia,non trasferito servizio,2022,534
piemonte,femmine,italia,non trasferito servizio,2023,796
piemonte,femmine,italia,non trasferito servizio,2024,896
piemonte,femmine,italia,chiamate valide,2015,1207
piemonte,femmine,italia,chiamate valide,2016,1159
piemonte,femmine,italia,chiamate valide,2017,971
piemonte,femmine,italia,chiamate valide,2018,1282
piemonte,femmine,italia,chiamate valide,2019,1212
piemonte,femmine,italia,chiamate valide,2020,1545
piemonte,femmine,italia,chiamate valide,2021,1492
piemonte,femmine,italia,chiamate valide,2022,1349
piemonte,femmine,italia,chiamate valide,2023,1967
piemonte,femmine,italia,chiamate valide,2024,2528
piemonte,femmine,italia,richiesto intervento del 118,2015,3
piemonte,femmine,italia,richiesto intervento del 118,2017,2
piemonte,femmine,italia,richiesto intervento del 118,2018,1
piemonte,femmine,italia,richiesto intervento del 118,2020,1
piemonte,femmine,italia,richiesto intervento del 118,2023,3
piemonte,femmine,italia,richiesto intervento del 118,2024,10
piemonte,femmine,italia,richiesto intervento del 112,2015,7
piemonte,femmine,italia,richiesto intervento del 112,2017,8
piemonte,femmine,italia,richiesto intervento del 112,2018,7
piemonte,femmine,italia,richiesto intervento del 112,2019,4
piemonte,femmine,italia,richiesto intervento del 112,2020,9
piemonte,femmine,italia,richiesto intervento del 112,2021,1
piemonte,femmine,italia,richiesto intervento del 112,2023,57
piemonte,femmine,italia,richiesto intervento del 112,2024,144
piemonte,femmine,italia,richiesto intervento del 113,2015,7
piemonte,femmine,italia,richiesto intervento del 113,2017,7
piemonte,femmine,italia,richiesto intervento del 113,2018,4
piemonte,femmine,italia,richiesto intervento del 113,2019,3
piemonte,femmine,italia,richiesto intervento del 113,2020,5
piemonte,femmine,italia,richiesto intervento del 113,2023,67
piemonte,femmine,italia,richiesto intervento del 113,2024,164
piemonte,non indicato,estero,trasferito servizio,2023,3
piemonte,non indicato,estero,trasferito servizio,2024,5
piemonte,non indicato,estero,non trasferito servizio,2023,5
piemonte,non indicato,estero,non trasferito servizio,2024,6
piemonte,non indicato,estero,chiamate valide,2023,8
piemonte,non indicato,estero,chiamate valide,2024,11
piemonte,non indicato,estero,richiesto intervento del 112,2024,4
piemonte,non indicato,estero,richiesto intervento del 113,2024,4
piemonte,non indicato,estero,trasferito servizio,2024,1
piemonte,non indicato,estero,chiamate valide,2024,1
piemonte,non indicato,estero,richiesto intervento del 112,2024,1
piemonte,non indicato,estero,richiesto intervento del 113,2024,1
piemonte,non indicato,italia,trasferito servizio,2023,3
piemonte,non indicato,italia,trasferito servizio,2024,4
piemonte,non indicato,italia,non trasferito servizio,2023,5
piemonte,non indicato,italia,non trasferito servizio,2024,6
piemonte,non indicato,italia,chiamate valide,2023,8
piemonte,non indicato,italia,chiamate valide,2024,10
piemonte,non indicato,italia,richiesto intervento del 112,2024,3
piemonte,non indicato,italia,richiesto intervento del 113,2024,3
liguria,maschi,estero,trasferito servizio,2015,36
liguria,maschi,estero,trasferito servizio,2016,26
liguria,maschi,estero,trasferito servizio,2017,17
liguria,maschi,estero,trasferito servizio,2018,14
liguria,maschi,estero,trasferito servizio,2019,17
liguria,maschi,estero,trasferito servizio,2020,22
liguria,maschi,estero,trasferito servizio,2021,22
liguria,maschi,estero,trasferito servizio,2022,17
liguria,maschi,estero,trasferito servizio,2023,40
liguria,maschi,estero,trasferito servizio,2024,39
liguria,maschi,estero,non trasferito servizio,2015,11
liguria,maschi,estero,non trasferito servizio,2016,5
liguria,maschi,estero,non trasferito servizio,2017,12
liguria,maschi,estero,non trasferito servizio,2018,30
liguria,maschi,estero,non trasferito servizio,2019,22
liguria,maschi,estero,non trasferito servizio,2020,43
liguria,maschi,estero,non trasferito servizio,2021,24
liguria,maschi,estero,non trasferito servizio,2022,37
liguria,maschi,estero,non trasferito servizio,2023,65
liguria,maschi,estero,non trasferito servizio,2024,64
liguria,maschi,estero,chiamate valide,2015,47
liguria,maschi,estero,chiamate valide,2016,31
liguria,maschi,estero,chiamate valide,2017,29
liguria,maschi,estero,chiamate valide,2018,44
liguria,maschi,estero,chiamate valide,2019,39
liguria,maschi,estero,chiamate valide,2020,65
liguria,maschi,estero,chiamate valide,2021,46
liguria,maschi,estero,chiamate valide,2022,54
liguria,maschi,estero,chiamate valide,2023,105
liguria,maschi,estero,chiamate valide,2024,103
liguria,maschi,estero,richiesto intervento del 112,2019,1
liguria,maschi,estero,richiesto intervento del 112,2023,6
liguria,maschi,estero,richiesto intervento del 112,2024,12
liguria,maschi,estero,richiesto intervento del 113,2019,1
liguria,maschi,estero,richiesto intervento del 113,2023,8
liguria,maschi,estero,richiesto intervento del 113,2024,14
liguria,maschi,estero,trasferito servizio,2015,1
liguria,maschi,estero,trasferito servizio,2017,3
liguria,maschi,estero,trasferito servizio,2018,2
liguria,maschi,estero,trasferito servizio,2020,1
liguria,maschi,estero,trasferito servizio,2022,1
liguria,maschi,estero,trasferito servizio,2023,3
liguria,maschi,estero,trasferito servizio,2024,5
liguria,maschi,estero,non trasferito servizio,2019,2
liguria,maschi,estero,non trasferito servizio,2021,2
liguria,maschi,estero,non trasferito servizio,2022,2
liguria,maschi,estero,non trasferito servizio,2023,1
liguria,maschi,estero,chiamate valide,2015,1
liguria,maschi,estero,chiamate valide,2017,3
liguria,maschi,estero,chiamate valide,2018,2
liguria,maschi,estero,chiamate valide,2019,2
liguria,maschi,estero,chiamate valide,2020,1
liguria,maschi,estero,chiamate valide,2021,2
liguria,maschi,estero,chiamate valide,2022,3
liguria,maschi,estero,chiamate valide,2023,4
liguria,maschi,estero,chiamate valide,2024,5
liguria,maschi,estero,richiesto intervento del 112,2023,1
liguria,maschi,estero,richiesto intervento del 112,2024,1
liguria,maschi,estero,richiesto intervento del 113,2023,2
liguria,maschi,estero,richiesto intervento del 113,2024,1
liguria,maschi,italia,trasferito servizio,2015,35
liguria,maschi,italia,trasferito servizio,2016,26
liguria,maschi,italia,trasferito servizio,2017,14
liguria,maschi,italia,trasferito servizio,2018,12
liguria,maschi,italia,trasferito servizio,2019,17
liguria,maschi,italia,trasferito servizio,2020,21
liguria,maschi,italia,trasferito servizio,2021,22
liguria,maschi,italia,trasferito servizio,2022,16
liguria,maschi,italia,trasferito servizio,2023,37
liguria,maschi,italia,trasferito servizio,2024,34
liguria,maschi,italia,non trasferito servizio,2015,11
liguria,maschi,italia,non trasferito servizio,2016,5
liguria,maschi,italia,non trasferito servizio,2017,12
liguria,maschi,italia,non trasferito servizio,2018,30
liguria,maschi,italia,non trasferito servizio,2019,20
liguria,maschi,italia,non trasferito servizio,2020,43
liguria,maschi,italia,non trasferito servizio,2021,22
liguria,maschi,italia,non trasferito servizio,2022,35
liguria,maschi,italia,non trasferito servizio,2023,64
liguria,maschi,italia,non trasferito servizio,2024,64
liguria,maschi,italia,chiamate valide,2015,46
liguria,maschi,italia,chiamate valide,2016,31
liguria,maschi,italia,chiamate valide,2017,26
liguria,maschi,italia,chiamate valide,2018,42
liguria,maschi,italia,chiamate valide,2019,37
liguria,maschi,italia,chiamate valide,2020,64
liguria,maschi,italia,chiamate valide,2021,44
liguria,maschi,italia,chiamate valide,2022,51
liguria,maschi,italia,chiamate valide,2023,101
liguria,maschi,italia,chiamate valide,2024,98
liguria,maschi,italia,richiesto intervento del 112,2019,1
liguria,maschi,italia,richiesto intervento del 112,2023,5
liguria,maschi,italia,richiesto intervento del 112,2024,11
liguria,maschi,italia,richiesto intervento del 113,2019,1
liguria,maschi,italia,richiesto intervento del 113,2023,6
liguria,maschi,italia,richiesto intervento del 113,2024,13
liguria,femmine,estero,trasferito servizio,2015,421
liguria,femmine,estero,trasferito servizio,2016,373
liguria,femmine,estero,trasferito servizio,2017,280
liguria,femmine,estero,trasferito servizio,2018,357
liguria,femmine,estero,trasferito servizio,2019,263
liguria,femmine,estero,trasferito servizio,2020,385
liguria,femmine,estero,trasferito servizio,2021,376
liguria,femmine,estero,trasferito servizio,2022,302
liguria,femmine,estero,trasferito servizio,2023,403
liguria,femmine,estero,trasferito servizio,2024,598
liguria,femmine,estero,non trasferito servizio,2015,80
liguria,femmine,estero,non trasferito servizio,2016,93
liguria,femmine,estero,non trasferito servizio,2017,86
liguria,femmine,estero,non trasferito servizio,2018,126
liguria,femmine,estero,non trasferito servizio,2019,191
liguria,femmine,estero,non trasferito servizio,2020,162
liguria,femmine,estero,non trasferito servizio,2021,214
liguria,femmine,estero,non trasferito servizio,2022,224
liguria,femmine,estero,non trasferito servizio,2023,251
liguria,femmine,estero,non trasferito servizio,2024,276
liguria,femmine,estero,chiamate valide,2015,501
liguria,femmine,estero,chiamate valide,2016,466
liguria,femmine,estero,chiamate valide,2017,366
liguria,femmine,estero,chiamate valide,2018,483
liguria,femmine,estero,chiamate valide,2019,454
liguria,femmine,estero,chiamate valide,2020,547
liguria,femmine,estero,chiamate valide,2021,590
liguria,femmine,estero,chiamate valide,2022,526
liguria,femmine,estero,chiamate valide,2023,654
liguria,femmine,estero,chiamate valide,2024,874
liguria,femmine,estero,richiesto intervento del 118,2015,1
liguria,femmine,estero,richiesto intervento del 118,2023,1
liguria,femmine,estero,richiesto intervento del 118,2024,2
liguria,femmine,estero,richiesto intervento del 112,2015,3
liguria,femmine,estero,richiesto intervento del 112,2016,2
liguria,femmine,estero,richiesto intervento del 112,2017,1
liguria,femmine,estero,richiesto intervento del 112,2018,1
liguria,femmine,estero,richiesto intervento del 112,2020,2
liguria,femmine,estero,richiesto intervento del 112,2021,1
liguria,femmine,estero,richiesto intervento del 112,2023,31
liguria,femmine,estero,richiesto intervento del 112,2024,40
liguria,femmine,estero,richiesto intervento del 113,2015,4
liguria,femmine,estero,richiesto intervento del 113,2016,2
liguria,femmine,estero,richiesto intervento del 113,2017,1
liguria,femmine,estero,richiesto intervento del 113,2018,1
liguria,femmine,estero,richiesto intervento del 113,2020,2
liguria,femmine,estero,richiesto intervento del 113,2021,1
liguria,femmine,estero,richiesto intervento del 113,2023,36
liguria,femmine,estero,richiesto intervento del 113,2024,52
liguria,femmine,estero,trasferito servizio,2015,39
liguria,femmine,estero,trasferito servizio,2016,32
liguria,femmine,estero,trasferito servizio,2017,30
liguria,femmine,estero,trasferito servizio,2018,34
liguria,femmine,estero,trasferito servizio,2019,39
liguria,femmine,estero,trasferito servizio,2020,51
liguria,femmine,estero,trasferito servizio,2021,35
liguria,femmine,estero,trasferito servizio,2022,41
liguria,femmine,estero,trasferito servizio,2023,44
liguria,femmine,estero,trasferito servizio,2024,56
liguria,femmine,estero,non trasferito servizio,2015,4
liguria,femmine,estero,non trasferito servizio,2016,3
liguria,femmine,estero,non trasferito servizio,2017,7
liguria,femmine,estero,non trasferito servizio,2018,8
liguria,femmine,estero,non trasferito servizio,2019,12
liguria,femmine,estero,non trasferito servizio,2020,5
liguria,femmine,estero,non trasferito servizio,2021,9
liguria,femmine,estero,non trasferito servizio,2022,10
liguria,femmine,estero,non trasferito servizio,2023,11
liguria,femmine,estero,non trasferito servizio,2024,11
liguria,femmine,estero,chiamate valide,2015,43
liguria,femmine,estero,chiamate valide,2016,35
liguria,femmine,estero,chiamate valide,2017,37
liguria,femmine,estero,chiamate valide,2018,42
liguria,femmine,estero,chiamate valide,2019,51
liguria,femmine,estero,chiamate valide,2020,56
liguria,femmine,estero,chiamate valide,2021,44
liguria,femmine,estero,chiamate valide,2022,51
liguria,femmine,estero,chiamate valide,2023,55
liguria,femmine,estero,chiamate valide,2024,67
liguria,femmine,estero,richiesto intervento del 112,2023,2
liguria,femmine,estero,richiesto intervento del 112,2024,3
liguria,femmine,estero,richiesto intervento del 113,2023,2
liguria,femmine,estero,richiesto intervento del 113,2024,4
liguria,femmine,italia,trasferito servizio,2015,382
liguria,femmine,italia,trasferito servizio,2016,341
liguria,femmine,italia,trasferito servizio,2017,250
liguria,femmine,italia,trasferito servizio,2018,323
liguria,femmine,italia,trasferito servizio,2019,224
liguria,femmine,italia,trasferito servizio,2020,334
liguria,femmine,italia,trasferito servizio,2021,341
liguria,femmine,italia,trasferito servizio,2022,261
liguria,femmine,italia,trasferito servizio,2023,359
liguria,femmine,italia,trasferito servizio,2024,542
liguria,femmine,italia,non trasferito servizio,2015,76
liguria,femmine,italia,non trasferito servizio,2016,90
liguria,femmine,italia,non trasferito servizio,2017,79
liguria,femmine,italia,non trasferito servizio,2018,118
liguria,femmine,italia,non trasferito servizio,2019,179
liguria,femmine,italia,non trasferito servizio,2020,157
liguria,femmine,italia,non trasferito servizio,2021,205
liguria,femmine,italia,non trasferito servizio,2022,214
liguria,femmine,italia,non trasferito servizio,2023,240
liguria,femmine,italia,non trasferito servizio,2024,265
liguria,femmine,italia,chiamate valide,2015,458
liguria,femmine,italia,chiamate valide,2016,431
liguria,femmine,italia,chiamate valide,2017,329
liguria,femmine,italia,chiamate valide,2018,441
liguria,femmine,italia,chiamate valide,2019,403
liguria,femmine,italia,chiamate valide,2020,491
liguria,femmine,italia,chiamate valide,2021,546
liguria,femmine,italia,chiamate valide,2022,475
liguria,femmine,italia,chiamate valide,2023,599
liguria,femmine,italia,chiamate valide,2024,807
liguria,femmine,italia,richiesto intervento del 118,2015,1
liguria,femmine,italia,richiesto intervento del 118,2023,1
liguria,femmine,italia,richiesto intervento del 118,2024,2
liguria,femmine,italia,richiesto intervento del 112,2015,3
liguria,femmine,italia,richiesto intervento del 112,2016,2
liguria,femmine,italia,richiesto intervento del 112,2017,1
liguria,femmine,italia,richiesto intervento del 112,2018,1
liguria,femmine,italia,richiesto intervento del 112,2020,2
liguria,femmine,italia,richiesto intervento del 112,2021,1
liguria,femmine,italia,richiesto intervento del 112,2023,29
liguria,femmine,italia,richiesto intervento del 112,2024,37
liguria,femmine,italia,richiesto intervento del 113,2015,4
liguria,femmine,italia,richiesto intervento del 113,2016,2
liguria,femmine,italia,richiesto intervento del 113,2017,1
liguria,femmine,italia,richiesto intervento del 113,2018,1
liguria,femmine,italia,richiesto intervento del 113,2020,2
liguria,femmine,italia,richiesto intervento del 113,2021,1
liguria,femmine,italia,richiesto intervento del 113,2023,34
liguria,femmine,italia,richiesto intervento del 113,2024,48
liguria,non indicato,estero,trasferito servizio,2024,2
liguria,non indicato,estero,non trasferito servizio,2023,3
liguria,non indicato,estero,non trasferito servizio,2024,2
liguria,non indicato,estero,chiamate valide,2023,3
liguria,non indicato,estero,chiamate valide,2024,4
liguria,non indicato,italia,trasferito servizio,2024,2
liguria,non indicato,italia,non trasferito servizio,2023,3
liguria,non indicato,italia,non trasferito servizio,2024,2
liguria,non indicato,italia,chiamate valide,2023,3
liguria,non indicato,italia,chiamate valide,2024,4
lombardia,maschi,estero,trasferito servizio,2015,154
lombardia,maschi,estero,trasferito servizio,2016,174
lombardia,maschi,estero,trasferito servizio,2017,151
lombardia,maschi,estero,trasferito servizio,2018,115
lombardia,maschi,estero,trasferito servizio,2019,118
lombardia,maschi,estero,trasferito servizio,2020,147
lombardia,maschi,estero,trasferito servizio,2021,112
lombardia,maschi,estero,trasferito servizio,2022,109
lombardia,maschi,estero,trasferito servizio,2023,239
lombardia,maschi,estero,trasferito servizio,2024,294
lombardia,maschi,estero,non trasferito servizio,2015,81
lombardia,maschi,estero,non trasferito servizio,2016,69
lombardia,maschi,estero,non trasferito servizio,2017,111
lombardia,maschi,estero,non trasferito servizio,2018,193
lombardia,maschi,estero,non trasferito servizio,2019,189
lombardia,maschi,estero,non trasferito servizio,2020,258
lombardia,maschi,estero,non trasferito servizio,2021,251
lombardia,maschi,estero,non trasferito servizio,2022,294
lombardia,maschi,estero,non trasferito servizio,2023,338
lombardia,maschi,estero,non trasferito servizio,2024,439
lombardia,maschi,estero,chiamate valide,2015,235
lombardia,maschi,estero,chiamate valide,2016,243
lombardia,maschi,estero,chiamate valide,2017,262
lombardia,maschi,estero,chiamate valide,2018,308
lombardia,maschi,estero,chiamate valide,2019,307
lombardia,maschi,estero,chiamate valide,2020,405
lombardia,maschi,estero,chiamate valide,2021,363
lombardia,maschi,estero,chiamate valide,2022,403
lombardia,maschi,estero,chiamate valide,2023,577
lombardia,maschi,estero,chiamate valide,2024,733
lombardia,maschi,estero,richiesto intervento del 118,2024,2
lombardia,maschi,estero,richiesto intervento del 112,2015,1
lombardia,maschi,estero,richiesto intervento del 112,2017,1
lombardia,maschi,estero,richiesto intervento del 112,2019,1
lombardia,maschi,estero,richiesto intervento del 112,2022,1
lombardia,maschi,estero,richiesto intervento del 112,2023,54
lombardia,maschi,estero,richiesto intervento del 112,2024,94
lombardia,maschi,estero,richiesto intervento del 113,2015,1
lombardia,maschi,estero,richiesto intervento del 113,2017,1
lombardia,maschi,estero,richiesto intervento del 113,2023,60
lombardia,maschi,estero,richiesto intervento del 113,2024,112
lombardia,maschi,estero,trasferito servizio,2015,8
lombardia,maschi,estero,trasferito servizio,2016,13
lombardia,maschi,estero,trasferito servizio,2017,16
lombardia,maschi,estero,trasferito servizio,2018,5
lombardia,maschi,estero,trasferito servizio,2019,6
lombardia,maschi,estero,trasferito servizio,2020,10
lombardia,maschi,estero,trasferito servizio,2021,11
lombardia,maschi,estero,trasferito servizio,2022,4
lombardia,maschi,estero,trasferito servizio,2023,19
lombardia,maschi,estero,trasferito servizio,2024,19
lombardia,maschi,estero,non trasferito servizio,2015,3
lombardia,maschi,estero,non trasferito servizio,2016,3
lombardia,maschi,estero,non trasferito servizio,2017,2
lombardia,maschi,estero,non trasferito servizio,2018,6
lombardia,maschi,estero,non trasferito servizio,2019,10
lombardia,maschi,estero,non trasferito servizio,2020,2
lombardia,maschi,estero,non trasferito servizio,2021,12
lombardia,maschi,estero,non trasferito servizio,2022,12
lombardia,maschi,estero,non trasferito servizio,2023,14
lombardia,maschi,estero,non trasferito servizio,2024,14
lombardia,maschi,estero,chiamate valide,2015,11
lombardia,maschi,estero,chiamate valide,2016,16
lombardia,maschi,estero,chiamate valide,2017,18
lombardia,maschi,estero,chiamate valide,2018,11
lombardia,maschi,estero,chiamate valide,2019,16
lombardia,maschi,estero,chiamate valide,2020,12
lombardia,maschi,estero,chiamate valide,2021,23
lombardia,maschi,estero,chiamate valide,2022,16
lombardia,maschi,estero,chiamate valide,2023,33
lombardia,maschi,estero,chiamate valide,2024,33
lombardia,maschi,estero,richiesto intervento del 112,2023,3
lombardia,maschi,estero,richiesto intervento del 112,2024,12
lombardia,maschi,estero,richiesto intervento del 113,2023,3
lombardia,maschi,estero,richiesto intervento del 113,2024,13
lombardia,maschi,italia,trasferito servizio,2015,146
lombardia,maschi,italia,trasferito servizio,2016,161
lombardia,maschi,italia,trasferito servizio,2017,135
lombardia,maschi,italia,trasferito servizio,2018,110
lombardia,maschi,italia,trasferito servizio,2019,112
lombardia,maschi,italia,trasferito servizio,2020,137
lombardia,maschi,italia,trasferito servizio,2021,101
lombardia,maschi,italia,trasferito servizio,2022,105
lombardia,maschi,italia,trasferito servizio,2023,220
lombardia,maschi,italia,trasferito servizio,2024,275
lombardia,maschi,italia,non trasferito servizio,2015,78
lombardia,maschi,italia,non trasferito servizio,2016,66
lombardia,maschi,italia,non trasferito servizio,2017,109
lombardia,maschi,italia,non trasferito servizio,2018,187
lombardia,maschi,italia,non trasferito servizio,2019,179
lombardia,maschi,italia,non trasferito servizio,2020,256
lombardia,maschi,italia,non trasferito servizio,2021,239
lombardia,maschi,italia,non trasferito servizio,2022,282
lombardia,maschi,italia,non trasferito servizio,2023,324
lombardia,maschi,italia,non trasferito servizio,2024,425
lombardia,maschi,italia,chiamate valide,2015,224
lombardia,maschi,italia,chiamate valide,2016,227
lombardia,maschi,italia,chiamate valide,2017,244
lombardia,maschi,italia,chiamate valide,2018,297
lombardia,maschi,italia,chiamate valide,2019,291
lombardia,maschi,italia,chiamate valide,2020,393
lombardia,maschi,italia,chiamate valide,2021,340
lombardia,maschi,italia,chiamate valide,2022,387
lombardia,maschi,italia,chiamate valide,2023,544
lombardia,maschi,italia,chiamate valide,2024,700
lombardia,maschi,italia,richiesto intervento del 118,2024,2
lombardia,maschi,italia,richiesto intervento del 112,2015,1
lombardia,maschi,italia,richiesto intervento del 112,2017,1
lombardia,maschi,italia,richiesto intervento del 112,2019,1
lombardia,maschi,italia,richiesto intervento del 112,2022,1
lombardia,maschi,italia,richiesto intervento del 112,2023,51
lombardia,maschi,italia,richiesto intervento del 112,2024,82
lombardia,maschi,italia,richiesto intervento del 113,2015,1
lombardia,maschi,italia,richiesto intervento del 113,2017,1
lombardia,maschi,italia,richiesto intervento del 113,2023,57
lombardia,maschi,italia,richiesto intervento del 113,2024,99
lombardia,femmine,estero,trasferito servizio,2015,2088
lombardia,femmine,estero,trasferito servizio,2016,2041
lombardia,femmine,estero,trasferito servizio,2017,1835
lombardia,femmine,estero,trasferito servizio,2018,1973
lombardia,femmine,estero,trasferito servizio,2019,1818
lombardia,femmine,estero,trasferito servizio,2020,2608
lombardia,femmine,estero,trasferito servizio,2021,2499
lombardia,femmine,estero,trasferito servizio,2022,2149
lombardia,femmine,estero,trasferito servizio,2023,2990
lombardia,femmine,estero,trasferito servizio,2024,4761
lombardia,femmine,estero,non trasferito servizio,2015,395
lombardia,femmine,estero,non trasferito servizio,2016,364
lombardia,femmine,estero,non trasferito servizio,2017,445
lombardia,femmine,estero,non trasferito servizio,2018,905
lombardia,femmine,estero,non trasferito servizio,2019,896
lombardia,femmine,estero,non trasferito servizio,2020,1100
lombardia,femmine,estero,non trasferito servizio,2021,1101
lombardia,femmine,estero,non trasferito servizio,2022,1265
lombardia,femmine,estero,non trasferito servizio,2023,1862
lombardia,femmine,estero,non trasferito servizio,2024,2046
lombardia,femmine,estero,chiamate valide,2015,2483
lombardia,femmine,estero,chiamate valide,2016,2405
lombardia,femmine,estero,chiamate valide,2017,2280
lombardia,femmine,estero,chiamate valide,2018,2878
lombardia,femmine,estero,chiamate valide,2019,2714
lombardia,femmine,estero,chiamate valide,2020,3708
lombardia,femmine,estero,chiamate valide,2021,3600
lombardia,femmine,estero,chiamate valide,2022,3414
lombardia,femmine,estero,chiamate valide,2023,4852
lombardia,femmine,estero,chiamate valide,2024,6807
lombardia,femmine,estero,richiesto intervento del 118,2015,4
lombardia,femmine,estero,richiesto intervento del 118,2017,4
lombardia,femmine,estero,richiesto intervento del 118,2018,2
lombardia,femmine,estero,richiesto intervento del 118,2019,3
lombardia,femmine,estero,richiesto intervento del 118,2020,2
lombardia,femmine,estero,richiesto intervento del 118,2021,1
lombardia,femmine,estero,richiesto intervento del 118,2023,16
lombardia,femmine,estero,richiesto intervento del 118,2024,17
lombardia,femmine,estero,richiesto intervento del 112,2015,19
lombardia,femmine,estero,richiesto intervento del 112,2016,7
lombardia,femmine,estero,richiesto intervento del 112,2017,20
lombardia,femmine,estero,richiesto intervento del 112,2018,19
lombardia,femmine,estero,richiesto intervento del 112,2019,20
lombardia,femmine,estero,richiesto intervento del 112,2020,15
lombardia,femmine,estero,richiesto intervento del 112,2021,8
lombardia,femmine,estero,richiesto intervento del 112,2022,3
lombardia,femmine,estero,richiesto intervento del 112,2023,213
lombardia,femmine,estero,richiesto intervento del 112,2024,411
lombardia,femmine,estero,richiesto intervento del 113,2015,15
lombardia,femmine,estero,richiesto intervento del 113,2016,8
lombardia,femmine,estero,richiesto intervento del 113,2017,19
lombardia,femmine,estero,richiesto intervento del 113,2018,17
lombardia,femmine,estero,richiesto intervento del 113,2019,15
lombardia,femmine,estero,richiesto intervento del 113,2020,6
lombardia,femmine,estero,richiesto intervento del 113,2021,4
lombardia,femmine,estero,richiesto intervento del 113,2023,242
lombardia,femmine,estero,richiesto intervento del 113,2024,472
lombardia,femmine,estero,trasferito servizio,2015,224
lombardia,femmine,estero,trasferito servizio,2016,261
lombardia,femmine,estero,trasferito servizio,2017,307
lombardia,femmine,estero,trasferito servizio,2018,272
lombardia,femmine,estero,trasferito servizio,2019,304
lombardia,femmine,estero,trasferito servizio,2020,347
lombardia,femmine,estero,trasferito servizio,2021,297
lombardia,femmine,estero,trasferito servizio,2022,309
lombardia,femmine,estero,trasferito servizio,2023,379
lombardia,femmine,estero,trasferito servizio,2024,527
lombardia,femmine,estero,non trasferito servizio,2015,33
lombardia,femmine,estero,non trasferito servizio,2016,16
lombardia,femmine,estero,non trasferito servizio,2017,28
lombardia,femmine,estero,non trasferito servizio,2018,58
lombardia,femmine,estero,non trasferito servizio,2019,62
lombardia,femmine,estero,non trasferito servizio,2020,87
lombardia,femmine,estero,non trasferito servizio,2021,87
lombardia,femmine,estero,non trasferito servizio,2022,95
lombardia,femmine,estero,non trasferito servizio,2023,114
lombardia,femmine,estero,non trasferito servizio,2024,119
lombardia,femmine,estero,chiamate valide,2015,257
lombardia,femmine,estero,chiamate valide,2016,277
lombardia,femmine,estero,chiamate valide,2017,335
lombardia,femmine,estero,chiamate valide,2018,330
lombardia,femmine,estero,chiamate valide,2019,366
lombardia,femmine,estero,chiamate valide,2020,434
lombardia,femmine,estero,chiamate valide,2021,384
lombardia,femmine,estero,chiamate valide,2022,404
lombardia,femmine,estero,chiamate valide,2023,493
lombardia,femmine,estero,chiamate valide,2024,646
lombardia,femmine,estero,richiesto intervento del 118,2024,1
lombardia,femmine,estero,richiesto intervento del 112,2015,5
lombardia,femmine,estero,richiesto intervento del 112,2016,1
lombardia,femmine,estero,richiesto intervento del 112,2017,5
lombardia,femmine,estero,richiesto intervento del 112,2018,3
lombardia,femmine,estero,richiesto intervento del 112,2019,3
lombardia,femmine,estero,richiesto intervento del 112,2020,4
lombardia,femmine,estero,richiesto intervento del 112,2021,2
lombardia,femmine,estero,richiesto intervento del 112,2022,1
lombardia,femmine,estero,richiesto intervento del 112,2023,22
lombardia,femmine,estero,richiesto intervento del 112,2024,43
lombardia,femmine,estero,richiesto intervento del 113,2015,3
lombardia,femmine,estero,richiesto intervento del 113,2016,1
lombardia,femmine,estero,richiesto intervento del 113,2017,5
lombardia,femmine,estero,richiesto intervento del 113,2018,2
lombardia,femmine,estero,richiesto intervento del 113,2019,2
lombardia,femmine,estero,richiesto intervento del 113,2021,1
lombardia,femmine,estero,richiesto intervento del 113,2023,25
lombardia,femmine,estero,richiesto intervento del 113,2024,49
lombardia,femmine,italia,trasferito servizio,2015,1864
lombardia,femmine,italia,trasferito servizio,2016,1780
lombardia,femmine,italia,trasferito servizio,2017,1528
lombardia,femmine,italia,trasferito servizio,2018,1701
lombardia,femmine,italia,trasferito servizio,2019,1514
lombardia,femmine,italia,trasferito servizio,2020,2261
lombardia,femmine,italia,trasferito servizio,2021,2202
lombardia,femmine,italia,trasferito servizio,2022,1840
lombardia,femmine,italia,trasferito servizio,2023,2611
lombardia,femmine,italia,trasferito servizio,2024,4234
lombardia,femmine,italia,non trasferito servizio,2015,362
lombardia,femmine,italia,non trasferito servizio,2016,348
lombardia,femmine,italia,non trasferito servizio,2017,417
lombardia,femmine,italia,non trasferito servizio,2018,847
lombardia,femmine,italia,non trasferito servizio,2019,834
lombardia,femmine,italia,non trasferito servizio,2020,1013
lombardia,femmine,italia,non trasferito servizio,2021,1014
lombardia,femmine,italia,non trasferito servizio,2022,1170
lombardia,femmine,italia,non trasferito servizio,2023,1748
lombardia,femmine,italia,non trasferito servizio,2024,1927
lombardia,femmine,italia,chiamate valide,2015,2226
lombardia,femmine,italia,chiamate valide,2016,2128
lombardia,femmine,italia,chiamate valide,2017,1945
lombardia,femmine,italia,chiamate valide,2018,2548
lombardia,femmine,italia,chiamate valide,2019,2348
