territorio,sesso,nazionalità_utente,modalità_intervento,periodo,numero_vittime
italia,maschi,italia,richiesto intervento del 112,2018,8
italia,maschi,italia,richiesto intervento del 112,2019,9
italia,maschi,italia,richiesto intervento del 112,2020,3
italia,maschi,italia,richiesto intervento del 112,2022,1
italia,maschi,italia,richiesto intervento del 112,2023,399
italia,maschi,italia,richiesto intervento del 112,2024,801
italia,maschi,italia,richiesto intervento del 113,2015,9
italia,maschi,italia,richiesto intervento del 113,2016,3
italia,maschi,italia,richiesto intervento del 113,2017,10
italia,maschi,italia,richiesto intervento del 113,2018,7
italia,maschi,italia,richiesto intervento del 113,2019,7
italia,maschi,italia,richiesto intervento del 113,2020,1
italia,maschi,italia,richiesto intervento del 113,2021,1
italia,maschi,italia,richiesto intervento del 113,2023,447
italia,maschi,italia,richiesto intervento del 113,2024,918
italia,maschi,non indicato,non trasferito servizio,2018,1
italia,maschi,non indicato,chiamate valide,2018,1
italia,femmine,estero,trasferito servizio,2015,13986
italia,femmine,estero,trasferito servizio,2016,12781
italia,femmine,estero,trasferito servizio,2017,11550
italia,femmine,estero,trasferito servizio,2018,13148
italia,femmine,estero,trasferito servizio,2019,11706
italia,femmine,estero,trasferito servizio,2020,17822
italia,femmine,estero,trasferito servizio,2021,16228
italia,femmine,estero,trasferito servizio,2022,12970
italia,femmine,estero,trasferito servizio,2023,19359
italia,femmine,estero,trasferito servizio,2024,27368
italia,femmine,estero,non trasferito servizio,2015,3518
italia,femmine,estero,non trasferito servizio,2016,3163
italia,femmine,estero,non trasferito servizio,2017,3947
italia,femmine,estero,non trasferito servizio,2018,7528
italia,femmine,estero,non trasferito servizio,2019,7240
italia,femmine,estero,non trasferito servizio,2020,10454
italia,femmine,estero,non trasferito servizio,2021,15789
italia,femmine,estero,non trasferito servizio,2022,15597
italia,femmine,estero,non trasferito servizio,2023,21876
italia,femmine,estero,non trasferito servizio,2024,24798
italia,femmine,estero,chiamate valide,2015,17504
italia,femmine,estero,chiamate valide,2016,15944
italia,femmine,estero,chiamate valide,2017,15497
italia,femmine,estero,chiamate valide,2018,20676
italia,femmine,estero,chiamate valide,2019,18946
italia,femmine,estero,chiamate valide,2020,28276
